,0,1,2,3,4,5
0,생각보다 집이 작네..하긴 혼자 사니까..,아프리카노,2023-02-16T05:21:33Z,2023-02-16T05:21:33Z,0,ZfK9ER8Xh7w
1,"이형 좋긴한데..재혼은 누가 되었던 불가능..
결혼은 가능해도 또 이혼임..
아..좀...내려놓지' .
라면 커피 입에도 안데던 종국이형처럼 조금만 양보해도 좋을텐데..안타깝네",ed R,2023-02-16T05:20:42Z,2023-02-16T05:20:42Z,0,ZfK9ER8Xh7w
2,생각보다 집사이즈가 검소하네ㅋㅋ 막 80평대 일하는분두고 대리석삐까뻔쩍 집일줄알앗는데 신기하네ㅋㅋ,너무좋으면짖움막짖움,2023-02-16T05:19:59Z,2023-02-16T05:19:59Z,0,ZfK9ER8Xh7w
3,이거 예전에도 봤는데 재탕 오져,Serah,2023-02-16T05:18:27Z,2023-02-16T05:18:27Z,0,ZfK9ER8Xh7w
4,테이블 그렇게 깨끗하지도 않은데 자기만의 룰이 있나?,이서,2023-02-16T05:15:36Z,2023-02-16T05:15:36Z,0,ZfK9ER8Xh7w
5,와우 대박이에여 !,soohyuk2_,2023-02-16T05:13:09Z,2023-02-16T05:13:09Z,0,ZfK9ER8Xh7w
6,박나래?,봄봄,2023-02-16T05:13:04Z,2023-02-16T05:13:04Z,0,ZfK9ER8Xh7w
7,와....진짜 서장훈 이사할수도 있겠는데...,yeob's,2023-02-16T05:12:11Z,2023-02-16T05:12:11Z,0,ZfK9ER8Xh7w
8,"서장훈 좋은사람 인건 알지 알겠다만 이제좀 내려놨으면 좋겠네 
오정연도 대단하네 저걸버티고ㅋㅋ",yonghyuk lee,2023-02-16T05:08:47Z,2023-02-16T05:08:47Z,0,ZfK9ER8Xh7w
9,현관문에 스티커 자국 어쩔거임~~~!!,콜트,2023-02-16T05:04:31Z,2023-02-16T05:04:31Z,1,ZfK9ER8Xh7w
10,굉장이  서민적으로   해놓고사네요      설치하는사람들이   있는데 쇼파에  누워있는건좀,수선화,2023-02-16T05:01:40Z,2023-02-16T05:01:40Z,1,ZfK9ER8Xh7w
11,세상 부럽,샤킹,2023-02-16T04:51:20Z,2023-02-16T04:51:20Z,0,ZfK9ER8Xh7w
12,서장훈 정도 강박증이면 진짜 혼자 사는게 정답이다 아니면 서장훈과 맞먹는 수준의 여자이거나 성향이 다르면 서로 평생 스트레스 빋으면서 산다 서장훈은 맨날 치우라고 잔소리 잔소리 하고 여자는 치워도 치워도 서장훈 성에 안차서 잔소리 듣고 진짜 같이 사는게 지옥일껄,doihchiro,2023-02-16T04:50:49Z,2023-02-16T04:52:40Z,0,ZfK9ER8Xh7w
13,"결백 맞는디ㅠㅠ
혼자ㅇ살아야하는 운명인갑다ㅠ",아무거나,2023-02-16T04:49:34Z,2023-02-16T04:49:34Z,0,ZfK9ER8Xh7w
14,돈많으면됬지,Yo 김yo,2023-02-16T04:42:23Z,2023-02-16T04:42:23Z,0,ZfK9ER8Xh7w
15,"욕 드럽게 하는 농구선수
아주 욕을 달고 했음",달리플라워,2023-02-16T04:34:49Z,2023-02-16T04:34:49Z,1,ZfK9ER8Xh7w
16,안가고 만닼ㅋㅋㅋㅋㅋ,별찌,2023-02-16T04:29:22Z,2023-02-16T04:29:22Z,0,ZfK9ER8Xh7w
17,촬영준비 할 때부터가 맘에 안드는지 망했네 하는 거 봐ㅋㅋ,박수정,2023-02-16T04:29:11Z,2023-02-16T04:29:11Z,0,ZfK9ER8Xh7w
