video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
7QnVBNbTVeM,24,Entertainment,궤도와 다시 하는 '지금 당장 있으면 좋을 과학 기술 월드컵',475920,6000,2023-02-26T10:00:04Z,"▶관련 영상
  •놀러 온 궤도의 돈고추라면: https://youtu.be/j67xuAK_qz4

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 13일 방송분: https://www.youtube.com/live/s0sc5MpWEic

▶출연
  •궤도(@Unrealscience), 침착맨

#침착맨 #궤도 #이상형월드컵"
j67xuAK_qz4,24,Entertainment,놀러 온 궤도의 돈고추라면,720061,8437,2023-02-25T10:00:22Z,"▶관련 영상
  •궤도와 다시 하는 지금 당장 있으면 좋을 과학 기술 월드컵: https://youtu.be/7QnVBNbTVeM

▶관련 재생목록
  •👨‍🍳불만 피우면 쿡방: https://youtube.com/playlist?list=PLif_jr7pPZACEQ8CWYYcC2GDDqsJ2icOv

▶생방송 원본
  •2023년 2월 13일 방송분: https://www.youtube.com/live/s0sc5MpWEic

▶출연
  •궤도(@Unrealscience), 침착맨

#침착맨 #궤도 #쿡방"
mhZBhpagdVU,24,Entertainment,롯데리아 전주 비빔라이스 버거,560399,6939,2023-02-24T10:00:35Z,"▶관련 영상
  •먹으면 웃음이 절로 나오는 군대리아 세트: https://youtu.be/6oSBkEU1ohQ

▶관련 재생목록
  •침착맨의 식욕저하 다이어트 먹방: https://url.kr/a4vk8m

▶생방송 원본
  •2023년 2월 16일 방송분: https://www.youtube.com/live/G3KUs5Sb2qw

#침착맨 #전주비빔라이스버거 #먹방"
5ahN5s59M5I,24,Entertainment,한 달 늦은 뉴스 속보,549419,7394,2023-02-23T10:00:03Z,"▶관련 영상
  •침착맨이 요즘 관심있는 것들: https://youtu.be/w2wREDRrROk

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 13일 방송분: https://www.youtube.com/live/s0sc5MpWEic

#침착맨 #뉴스"
4DLCaQZ6VC4,24,Entertainment,시디즈 실전용 게이밍 의자 (a.k.a 교잡종),443958,4818,2023-02-22T10:00:02Z,"시디즈 GC PRO의 [진짜 게임을 시작한 당신에게]
광고 영상 보러가기 : https://youtu.be/0MKy4GeIkkY

시디즈 GC PRO 랜선 체험하기 : http://www.sidizgaming.com/gcpro

#시디즈GCPRO #GCPRO #시디즈게이밍의자 #진짜게임을시작한당신에게 #그렇게게이머가된다

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 14일 방송분: https://www.youtube.com/live/3mnZKYwiVac"
l1Vncs1qw_M,24,Entertainment,(잔인주의) 너굴맨의 개과천선,366177,4191,2023-02-21T10:00:34Z,"▶관련 영상
  •(잔인주의) 선량한 사람은 너굴맨이 처리했으니 안심하라구: https://youtu.be/8hSds3puPQY

▶관련 재생목록
  •레드 데드 리뎀션 2 (Red Dead Redemption 2): https://https://www.youtube.com/playlist?list=PLif_jr7pPZADtlx8QIJNJF-6XURHoRO1k

▶생방송 원본
  •2023년 1월 30일 방송분: https://www.youtube.com/live/6Hn9h4M3R-E

#침착맨 #레데리2 #reddeadredemption"
7XRufU8uafs,24,Entertainment,학창 시절 가장 열받는 일 월드컵,809448,7300,2023-02-20T10:00:03Z,"▶관련 영상
  •카더가든 & 비비 초대석: https://youtu.be/ndaymi8Mss4

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 10일 방송분: https://youtu.be/cYOqd3GINa4

▶출연
  •카더가든(@Carthegarden), 비비(@naked_BIBI), 침착맨

#침착맨 #카더가든 #비비"
ndaymi8Mss4,24,Entertainment,카더가든 & 비비 초대석,997632,9876,2023-02-19T10:00:22Z,"▶관련 영상
  •이름이 많은 사람: https://youtu.be/eixLlnY-TrA
  •가수 비비 초대석: https://youtu.be/fA5BhaxRvN0

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 10일 방송분: https://youtu.be/cYOqd3GINa4

▶출연
  •카더가든(@Carthegarden), 비비(@naked_BIBI), 침착맨

#침착맨 #카더가든 #비비"
e2tttO-8LUw,24,Entertainment,과자를 가루로 만들어 밥에 뿌려 드셔보시겠습니까?,669144,7889,2023-02-18T10:00:20Z,"▶관련 영상
  •신개념 사업 구상 - 가루 삼겹살: https://youtu.be/gwHQLBUStO4

▶관련 재생목록
  •침착맨의 식욕저하 다이어트 먹방: https://url.kr/a4vk8m

▶생방송 원본
  •2023년 2월 14일 방송분: https://www.youtube.com/live/Ar9gKiBNHw0

#침착맨 #맛가루 #먹방"
VfD-rap67hk,24,Entertainment,아이돌 모르는 사람의 딥 러닝 암기법,801101,10310,2023-02-17T10:00:19Z,"▶관련 영상
  •딥 러닝으로 풀어보는 예능 게임: https://youtu.be/cUJmNvaVE3U

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 7일 방송분: https://www.youtube.com/live/u1-TzHB6lWA

▶출연
  •주호민(@joopearl), 침착맨

#침착맨 #주호민 #인물퀴즈"
