0,1,2,3,4,5
It take a challenge for you tae in some other shows. . God bless you and stay healthy always.,Jeanne Jereza,2023-02-22T00:43:48Z,2023-02-22T00:44:59Z,0,0cWKAJFnBVA
💕💕💕,sunoo_tkm,2023-02-22T00:43:03Z,2023-02-22T00:43:03Z,0,0cWKAJFnBVA
그럼 tvn에선 못보나요?,masterpiece.,2023-02-22T00:38:17Z,2023-02-22T00:38:17Z,1,0cWKAJFnBVA
Tete ❤❤❤❤❤❤,Lennyhunter,2023-02-22T00:37:13Z,2023-02-22T00:37:13Z,0,0cWKAJFnBVA
El tae me mandó pa'ca ♡,Nayaret Lillo,2023-02-22T00:36:36Z,2023-02-22T00:36:36Z,0,0cWKAJFnBVA
"Tae, you're the cutest ",LuNa,2023-02-22T00:35:14Z,2023-02-22T00:35:14Z,0,0cWKAJFnBVA
I had such a great time! Thanks for the episode,Ka,2023-02-22T00:35:03Z,2023-02-22T00:35:03Z,0,0cWKAJFnBVA
"When yumi said that she never saw Seo Jin getting mad before, i was already feeling anxious about the show even before it's air. It's not easy to be CEO or being someone that needs to manage the employee & the management. I lose my temper as well thus i quit being manager and work under my manager instead. It was burdensome & stressful being at the top & in charge. He was more relaxed when Madam Youn became the CEO. I know the feeling of being put to blame & had to take a full responsibility just  bcs you're the boss. I hope Seo Jin won't get attacked for being a strict ass boss. Especially for those who didn't know the real him.",Raven Claw,2023-02-22T00:34:19Z,2023-02-22T00:34:19Z,0,0cWKAJFnBVA
Waaa BTS song in video,Alya Qothrunnada,2023-02-22T00:34:05Z,2023-02-22T00:34:05Z,0,0cWKAJFnBVA
Taehyung ❤ 🤟 Park Seo-Joon ❤ 🤟 ❤ 🤟,mery garcia,2023-02-22T00:32:14Z,2023-02-22T00:40:43Z,0,0cWKAJFnBVA
왜난 나pd 때문인지 몰라도 유진이가 여기 나왔으면 어땠을까 하는 생각이 들까.. 왠지 서빙 잘할거 같은데 임기응변도 좋을거 같고 거기다 정유미한테 댕댕모드로 달라붙으면 보기도 좋을거 같고... 암튼 서진이네 다들 장사 잘되기를!,핀켓,2023-02-22T00:27:58Z,2023-02-22T00:27:58Z,0,0cWKAJFnBVA
꿀잼,Jinse Park,2023-02-22T00:24:21Z,2023-02-22T00:24:21Z,0,0cWKAJFnBVA
En dónde queda ese lugar ¿?,술레이미,2023-02-22T00:21:56Z,2023-02-22T00:21:56Z,0,0cWKAJFnBVA
"중간물 있는데용 ㅋㅋ😂😂😂명사
원료를 가지고 최종 생성물을 만드는 과정에서 합성되는 유기물.",jin seok heo,2023-02-22T00:21:56Z,2023-02-22T00:24:16Z,0,0cWKAJFnBVA
사랑해 프로그램 축하해,Fatima Esquivel Colin,2023-02-22T00:19:57Z,2023-02-22T00:19:57Z,0,0cWKAJFnBVA
Finally! Thanks for the english sub,Jess,2023-02-22T00:19:51Z,2023-02-22T00:19:51Z,0,0cWKAJFnBVA
"Thank you for the content!! But while making the subtitles I wish the translation team starts to prioritize what the cast is saying.  Sometimes they put only the translation of the Korean words inserts on the screen. The person is speaking, everybody laughs and we never get to know what they are saying 😭",A.M.,2023-02-22T00:19:30Z,2023-02-22T00:19:30Z,0,0cWKAJFnBVA
Taehyung is so fun,Pikachu Pokemon,2023-02-22T00:19:30Z,2023-02-22T00:19:30Z,1,0cWKAJFnBVA
해외 팬들을 위한 영어 자막을 보니 반갑습니다 💜🌸,Maria,2023-02-22T00:18:48Z,2023-02-22T00:18:48Z,3,0cWKAJFnBVA
너무 재밌어요 😂💜,Maria,2023-02-22T00:16:58Z,2023-02-22T00:16:58Z,4,0cWKAJFnBVA
JINNY   LOVE    100   👩‍🍳👨‍🍳👨‍🍳👨‍💼👨‍💼😍😍😍😍😍🤗💚💜🧡💙🤍💯💯💯💯💯💯💯💯✌🤞👍👍👍👍👍👍👍👍👍👍👍👏🙏,Heifara Francaviglia,2023-02-22T00:16:14Z,2023-02-22T00:16:14Z,1,0cWKAJFnBVA
💜💜💜💜💜💜💜🫰,Farul Begum,2023-02-22T00:13:05Z,2023-02-22T00:13:05Z,1,0cWKAJFnBVA
채널십오야에 나오다니..두둥..,이혜린,2023-02-22T00:12:54Z,2023-02-22T00:12:54Z,0,0cWKAJFnBVA
중간물ㅋㅋㅋㅋㅋㅋㅋㅋ,망개미니,2023-02-22T00:12:21Z,2023-02-22T00:12:21Z,2,0cWKAJFnBVA
V도 왔네♡♡,지나가는 개,2023-02-22T00:09:06Z,2023-02-22T00:09:06Z,3,0cWKAJFnBVA
I had so much fun watching it... Thankyou Taehyung 💜and the entire cast of Jinny's kitchen....can't wait for the show💜💜💜💜,Swareena Dixit,2023-02-22T00:04:45Z,2023-02-22T00:04:45Z,1,0cWKAJFnBVA
Looks like the group have been through a lot 😂😂 ARMYs are excited to watch Seojin and to see how our intern Taehyung will do!,TypicalMe333,2023-02-22T00:04:40Z,2023-02-22T00:05:18Z,0,0cWKAJFnBVA
Taehyung is so funny and lovely 💜,Lina Gttl,2023-02-22T00:03:32Z,2023-02-22T00:03:32Z,0,0cWKAJFnBVA
👏👏👏👏💜💜💜💜💜💜💜,RafaelaArauj7,2023-02-22T00:01:47Z,2023-02-22T00:01:47Z,0,0cWKAJFnBVA
I love all of them already,Minv,2023-02-21T23:59:15Z,2023-02-21T23:59:15Z,0,0cWKAJFnBVA
Gemes banget tae💜,Ade Fitri,2023-02-21T23:58:57Z,2023-02-21T23:58:57Z,1,0cWKAJFnBVA
"😍😍😍😍😍😍😍😍😍😍😍💜
Kim thayung love 😍",Rosangela Da Costa,2023-02-21T23:58:36Z,2023-02-21T23:58:36Z,0,0cWKAJFnBVA
Thank you for English subtitle 💜💜💜,PurpleRose Dream,2023-02-21T23:58:16Z,2023-02-21T23:58:16Z,1,0cWKAJFnBVA
Tae qué lindo eres 🤍,Aldair Rioja,2023-02-21T23:57:15Z,2023-02-21T23:57:15Z,0,0cWKAJFnBVA
Tnx so much for the english translation..Go V💜Everyone is cool💜,gina millamina,2023-02-21T23:57:08Z,2023-02-21T23:57:08Z,1,0cWKAJFnBVA
귀엽따요~>o< 요리하는게 식당하는게 쉬운일이 아닐텐데요~기대되네요,sun shine,2023-02-21T23:53:43Z,2023-02-21T23:53:43Z,1,0cWKAJFnBVA
TaeTae I love you,max chung,2023-02-21T23:51:43Z,2023-02-21T23:51:43Z,0,0cWKAJFnBVA
"Wow, i really enjoyed  watching this,  it's hilariously funny😄",Cecille M,2023-02-21T23:51:30Z,2023-02-21T23:51:30Z,1,0cWKAJFnBVA
シ・ベアはとても愛らしいです 😘😘😘,Santy Sejati,2023-02-21T23:51:01Z,2023-02-21T23:51:01Z,0,0cWKAJFnBVA
라인업이 ㄷㄷ 드림팀이네요 ㅋㅋㅋ,궁금해소 - 궁금한걸 해소하는 채널,2023-02-21T23:50:45Z,2023-02-21T23:50:45Z,2,0cWKAJFnBVA
Our lovely Tae!,EvaImam,2023-02-21T23:49:02Z,2023-02-21T23:49:02Z,0,0cWKAJFnBVA
❤❤❤❤,Dheer Woods,2023-02-21T23:46:57Z,2023-02-21T23:46:57Z,0,0cWKAJFnBVA
Sub indo dong,Iga Azzarah,2023-02-21T23:45:28Z,2023-02-21T23:45:28Z,0,0cWKAJFnBVA
태형아 내가 널 십오야에서 보다니ㅜ소원이 없다 정말 힘들었겠지만 고마ㅝ 퓨ㅠㅠㅠㅠㅠㅠ,김은수,2023-02-21T23:45:04Z,2023-02-21T23:45:04Z,3,0cWKAJFnBVA
💜💜💜,Kaia,2023-02-21T23:42:29Z,2023-02-21T23:42:29Z,0,0cWKAJFnBVA
몇번을 보는건지..😂😂 너무 재미있어요. 기대중!💜,햇살가득_포KTH🐻,2023-02-21T23:41:36Z,2023-02-21T23:41:36Z,4,0cWKAJFnBVA
BST as the ending 😭 🤣🤣,Anna,2023-02-21T23:40:23Z,2023-02-21T23:40:23Z,0,0cWKAJFnBVA
라인업이 미쳤따ㄷㄷ 왤케 다들 귀여워ㅋㅋ,Chae Hyeon Lee,2023-02-21T23:39:49Z,2023-02-21T23:39:49Z,2,0cWKAJFnBVA
"Oh  Nuestro querido Kim Taehyung 💜 aunque no entiendo igual aquí apoyándote, espero que puedan subir con subtítulos en español a cruzar los dedos. I purple you Kim Taehyung.",Matias Ruiz Paco,2023-02-21T23:38:07Z,2023-02-21T23:38:07Z,1,0cWKAJFnBVA
Как приятно видеть как Тэхен веселиться с друзьями!,Наталья М,2023-02-21T23:37:51Z,2023-02-21T23:37:51Z,2,0cWKAJFnBVA
Jajjajajaj es muy divertido ver a Tae en otros proyectos y se ve muy feliz ♥️,Karina Salgado Cruz,2023-02-21T23:37:29Z,2023-02-21T23:37:29Z,2,0cWKAJFnBVA
Funny I thought 눈물 and that’s the final song 😄,beth sa,2023-02-21T23:36:43Z,2023-02-21T23:36:43Z,1,0cWKAJFnBVA
이거 좀 눈이 행복한데,으웅,2023-02-21T23:32:15Z,2023-02-21T23:32:15Z,3,0cWKAJFnBVA
하루지났는데 5백만이 넘었네 대단하다,ss,2023-02-21T23:31:59Z,2023-02-21T23:31:59Z,2,0cWKAJFnBVA
💜💜💜💜💜💜💜💜💜💜💜💜,Ana María Peñuelas,2023-02-21T23:31:01Z,2023-02-21T23:31:01Z,1,0cWKAJFnBVA
Sub Indonesia please:D,1996ksyy,2023-02-21T23:30:05Z,2023-02-21T23:30:05Z,1,0cWKAJFnBVA
Wtf 5.1 million,Jaebi fanatic,2023-02-21T23:28:03Z,2023-02-21T23:28:03Z,0,0cWKAJFnBVA
Tae look so shy . he so cute,Lily Daisy,2023-02-21T23:27:47Z,2023-02-21T23:27:47Z,1,0cWKAJFnBVA
하루건너 하루씩으로 프로그램 떡밥 주시다니ㅎㅎ 역시 이집 홍보 잘해ㅎㅎㅎ  오늘 오전 10시도 기대하고 있어요ㅎ,굥주욤,2023-02-21T23:26:25Z,2023-02-21T23:26:25Z,8,0cWKAJFnBVA
V and frien hwarang fighting 🙆🙌💪💖💖💖,Agus Agus,2023-02-21T23:22:25Z,2023-02-21T23:22:25Z,0,0cWKAJFnBVA
Que buen elenco de verdad <3,NATHALY MORENO,2023-02-21T23:21:22Z,2023-02-21T23:21:22Z,0,0cWKAJFnBVA
Ame mucho jsjaj me gustan todos<3,NATHALY MORENO,2023-02-21T23:20:11Z,2023-02-21T23:20:11Z,0,0cWKAJFnBVA
"자막센스~~~
서진 : 태형이 반만알아~
작가:자긴 다 모르면서~ ㅋㅋㅋ",김수임,2023-02-21T23:20:06Z,2023-02-21T23:20:06Z,3,0cWKAJFnBVA
"Ah, Taehyungie 💜🐻 and Wooga family members. Finally I can watch it again with subtitles. Thank you very much. Can't wait for the show. They're all hilarious and fun to watch. 😁",Marigold,2023-02-21T23:19:52Z,2023-02-21T23:19:52Z,0,0cWKAJFnBVA
Tae❤,Nois 55,2023-02-21T23:18:44Z,2023-02-21T23:18:44Z,0,0cWKAJFnBVA
태형씨 우리는 항상 함께 한다는거 화이팅 보라합니다,박글라라,2023-02-21T23:18:41Z,2023-02-21T23:18:41Z,4,0cWKAJFnBVA
Tae💜💜💜💜💜💜💜💜,Nois 55,2023-02-21T23:18:21Z,2023-02-21T23:18:21Z,1,0cWKAJFnBVA
Bts V!!!,Anija Harris,2023-02-21T23:18:05Z,2023-02-21T23:18:05Z,1,0cWKAJFnBVA
주열매!!!,으악,2023-02-21T23:17:34Z,2023-02-21T23:17:34Z,0,0cWKAJFnBVA
日本でも見たい,tmk asa,2023-02-21T23:17:34Z,2023-02-21T23:17:34Z,1,0cWKAJFnBVA
Taehyung❤❤❤,Nois 55,2023-02-21T23:17:10Z,2023-02-21T23:17:10Z,2,0cWKAJFnBVA
박서준 너무 멋진데♡,김영보,2023-02-21T23:17:04Z,2023-02-21T23:17:04Z,0,0cWKAJFnBVA
"i loved this show so much~~
btw, thanks for putting BTS's songs here :)",o bel,2023-02-21T23:16:17Z,2023-02-21T23:16:17Z,0,0cWKAJFnBVA
"もともとYUN食堂の頃から大好きな番組🥰🥰
ソジン兄さんユミさんソジュンさんウシクさんのユンステイメンバー何度も繰り返し見てるくらい大好きです。
こんな楽しみな気持ちになるなら、韓国語勉強しようかなー😆
ナPDの番組は毎日我が家の日常です。三食ごはんとユン食堂とカン食堂繰り返し見てます。もっとナPDの番組配信見たい～♥️
ぜひぜひ！！！日本語字幕もお願いします～♥️",河内晩夏,2023-02-21T23:13:19Z,2023-02-21T23:13:19Z,1,0cWKAJFnBVA
"Yo quiero mis subtitulos en Español 😶
Jajajaja 🫶🏻💜",lilian,2023-02-21T23:12:35Z,2023-02-21T23:12:35Z,0,0cWKAJFnBVA
I laughed from beginning to end! I’m excited to watch the show! 🎉,MiraculousD TV,2023-02-21T23:12:28Z,2023-02-21T23:12:28Z,0,0cWKAJFnBVA
Vengo ya que lo subtitularon. Mi tae es tan bonito divirtiéndose,Garca,2023-02-21T23:12:10Z,2023-02-21T23:12:10Z,1,0cWKAJFnBVA
YEHEYYYY,Cess,2023-02-21T23:03:06Z,2023-02-21T23:03:06Z,0,0cWKAJFnBVA
i can't wait for the show ahhhhhh,x x,2023-02-21T23:03:02Z,2023-02-21T23:03:02Z,1,0cWKAJFnBVA
So excited for this show. They have great chemistry,Dionicio Ricamora,2023-02-21T23:01:44Z,2023-02-21T23:01:44Z,0,0cWKAJFnBVA
😂😂😂😂😅,Pink,2023-02-21T23:00:07Z,2023-02-21T23:00:07Z,0,0cWKAJFnBVA
It's Park Seo Jun falling off the chair laughing for me 🤣🤣🤣,Bees0la,2023-02-21T22:59:42Z,2023-02-21T22:59:42Z,0,0cWKAJFnBVA
Ese programa lo grabaron en mi pueblo se llama Bacalar,정원의 아내,2023-02-21T22:58:19Z,2023-02-21T22:58:19Z,2,0cWKAJFnBVA
재밌다 태형씨 모든일 잘되길 응원합니다!!,마니아,2023-02-21T22:57:27Z,2023-02-21T22:57:27Z,9,0cWKAJFnBVA
love love love it,Tiffany Bana,2023-02-21T22:56:35Z,2023-02-21T22:56:35Z,0,0cWKAJFnBVA
"I wish Taehyung great success, he is talented and persistent, so he will achieve everything he wants.",Cherrylove 🍒,2023-02-21T22:55:10Z,2023-02-21T22:55:10Z,3,0cWKAJFnBVA
I love seeing TaeHyung's smile,meoww jjunii,2023-02-21T22:51:11Z,2023-02-21T22:51:11Z,4,0cWKAJFnBVA
كلهم طلعين لطاف وتاي ياقلبي مبسوط خالص 🍒💋💋,Lailamena Laila,2023-02-21T22:50:57Z,2023-02-21T22:50:57Z,2,0cWKAJFnBVA
울 곰탱이 말을 조근조근 잘하네~할미는 이제 걱정이 읍따.. 그런디 저기 나피디님 한곳에 몰아서 말씀 드려야쓰것는데..!있잖소..중간물과 바장....국어사전 나오는디..있는디.왜 땡인게요?ㅠㅠㅠㅎㅎㅎㅎㅎ똑똑똑 나피디님? 거~ 계시쥬 나슨상님!!! 저기요~~~~나피디님!!!!!^○^(맑은눈의 광기),didi모은,2023-02-21T22:50:51Z,2023-02-21T22:50:51Z,7,0cWKAJFnBVA
Obrigada por liberar a legenda....nós armys estrangeiras agradecemos.,Débora Regina,2023-02-21T22:48:58Z,2023-02-21T22:48:58Z,0,0cWKAJFnBVA
i love you kim taehyung💘,mei gi,2023-02-21T22:46:21Z,2023-02-21T22:46:21Z,2,0cWKAJFnBVA
Tae y Park Seo Joon 💜💜🫰🏻🫰🏻🫶🏻🫶🏻,MMM,2023-02-21T22:45:18Z,2023-02-21T22:45:18Z,1,0cWKAJFnBVA
I'm glad to see tae that Happy 💗🤏🏻 and all the ppl in this show r literally amazing,_sope7,2023-02-21T22:43:31Z,2023-02-21T22:47:08Z,3,0cWKAJFnBVA
태형군? 이건 진짜 꼰대 표현인데 30년전 직장 생활할때도 잘 안쓰려고 했던 표현을 pd 님 쓰시다니 .ㅜㅜ,Angella Ann,2023-02-21T22:38:18Z,2023-02-21T22:38:18Z,1,0cWKAJFnBVA
"EU AMEI MDS COMO É BOM VER ELE SE DIVERTINDO, e os outros são muito legais também",Ana Julia Ch,2023-02-21T22:36:08Z,2023-02-21T22:36:08Z,1,0cWKAJFnBVA
❤,張乃心,2023-02-21T22:32:37Z,2023-02-21T22:32:37Z,0,0cWKAJFnBVA
I love their chemistry 😁💜,Moonchild,2023-02-21T22:32:35Z,2023-02-21T22:32:35Z,0,0cWKAJFnBVA
Teahyung 😘😘💜💜,ka hina,2023-02-21T22:32:31Z,2023-02-21T22:32:31Z,2,0cWKAJFnBVA
YASS STHEY AHVE English SUB,iiseventeen,2023-02-21T22:32:23Z,2023-02-21T22:32:23Z,1,0cWKAJFnBVA
Yay eng subs are provided make sure to click the CC army 💜,Tae Kim,2023-02-21T22:30:31Z,2023-02-21T22:30:31Z,1,0cWKAJFnBVA
"Se ve que el programa estará entretenido, pero lo malo que en México no lo sacarán jajaja igual se ve muy tierno Tae diciendo que le gustó el tequila 💕",evelin de la cruz,2023-02-21T22:29:25Z,2023-02-21T22:29:25Z,3,0cWKAJFnBVA
Wow,Lutfiah Annahdi,2023-02-21T22:27:47Z,2023-02-21T22:27:47Z,0,0cWKAJFnBVA
"KimTaehyung, be happy .. Don't forget you are worldwide loved!!",Mercy Aque,2023-02-21T22:26:00Z,2023-02-21T22:26:00Z,2,0cWKAJFnBVA
"Such fun, thank you! Looking forward to the show. 💜💜💜💜",Jay Emjae,2023-02-21T22:25:30Z,2023-02-21T22:25:30Z,1,0cWKAJFnBVA
Like si viniste por la historia que subió Taehyung en su Instagram 🇨🇴,Visible para todos los usuarios de Youtube.,2023-02-21T22:24:21Z,2023-02-21T22:24:21Z,2,0cWKAJFnBVA
TE AMO TAEHYUNG,Tae curita ,2023-02-21T22:24:20Z,2023-02-21T22:24:20Z,2,0cWKAJFnBVA
so funny!,Jelaine,2023-02-21T22:23:50Z,2023-02-21T22:23:50Z,1,0cWKAJFnBVA
I'm only here for Kim Taehyung 💜💜💜,Modiba CM,2023-02-21T22:21:57Z,2023-02-21T22:21:57Z,4,0cWKAJFnBVA
Yeayyy finally you put English subtitle.thank you💜💜🥰🥰,kamal huzairi jaafar,2023-02-21T22:21:06Z,2023-02-21T22:21:06Z,2,0cWKAJFnBVA
💜💜💜💜,TAEHYUNG 💜,2023-02-21T22:19:33Z,2023-02-21T22:19:33Z,2,0cWKAJFnBVA
역시 태형이파워 영어댓글 많이보여서 기분이 좋은1인 글로벌한 인기가 많은덴 이유가있지ㅎㅎ조곤조곤 순둥순둥 우리태형이 많이봐서 너무좋아요🥰💜,항상그리움,2023-02-21T22:17:23Z,2023-02-21T22:17:23Z,17,0cWKAJFnBVA
KimTaehyung💚,Akane Ogawa,2023-02-21T22:15:49Z,2023-02-21T22:15:49Z,4,0cWKAJFnBVA
"So cuteeee, Tae💗",Baltazar Vargas Bani Nathali,2023-02-21T22:14:29Z,2023-02-21T22:14:29Z,3,0cWKAJFnBVA
나피디님아우터 멋드러지네요 정보좀...,zebra kang,2023-02-21T22:14:02Z,2023-02-21T22:14:02Z,1,0cWKAJFnBVA
Tete <3,Lizbeth Purihuaman Coronado,2023-02-21T22:13:55Z,2023-02-21T22:13:55Z,1,0cWKAJFnBVA
1000만 가야겠네,chre oh,2023-02-21T22:13:43Z,2023-02-21T22:13:43Z,4,0cWKAJFnBVA
아침부터 눈호강 순둥순둥 귀여운 태형이 많이 보여주세요 청률쩔고 식당대박날듯♡♡,항상그리움,2023-02-21T22:13:09Z,2023-02-21T22:13:09Z,13,0cWKAJFnBVA
Tae is so funny ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Menna A7md,2023-02-21T22:12:00Z,2023-02-21T22:12:00Z,2,0cWKAJFnBVA
"Taehyung, es tan lindo ❤",thv_tae ♡,2023-02-21T22:11:42Z,2023-02-21T22:11:42Z,2,0cWKAJFnBVA
