word,label,y
가난,negative,-1
가난뱅이,negative,-1
가난살이,negative,-1
가난살이하다,negative,-1
가난설음,negative,-1
가난에,negative,-1
가난에 쪼들려서,negative,-1
가난하게,negative,-1
가난하고,negative,-1
가난하고 어렵다,negative,-1
가난하고 천한,negative,-1
가난하다,negative,-1
가난하여,negative,-1
가난한,negative,-1
가난한 데다가,negative,-1
가난한 사람을,negative,-1
가난히,negative,-1
가년스럽다,negative,-1
가녕스럽다,negative,-1
가누지 못하고,negative,-1
가누지 못하다,negative,-1
가누지 못할,negative,-1
가누지 못할 정도로,negative,-1
가누지 못함,negative,-1
가눌 수 없게,negative,-1
가눌 수 없을,negative,-1
가눌 수 없이,negative,-1
가당찮다,negative,-1
가당찮이,negative,-1
가두거나 해치거나,negative,-1
가망이 없게,negative,-1
가슴 아파하다,negative,-1
가슴 아파함,negative,-1
가슴 아프게,negative,-1
가슴 아프고,negative,-1
가슴 아프다,negative,-1
가슴속에 근심이나,negative,-1
가슴앓이,negative,-1
가슴앓이하다,negative,-1
가슴이 갑갑할,negative,-1
가슴이 괴롭거나,negative,-1
가슴이 그득한,negative,-1
가슴이 답답하고,negative,-1
가슴이 답답하다,negative,-1
가슴이 답답하며,negative,-1
가슴이 아프다,negative,-1
가슴이 아픈,negative,-1
가슴이 울렁거리는,negative,-1
가슴이 울렁거리다,negative,-1
가슴이 찢어질,negative,-1
가엾고 불쌍하다,negative,-1
가엾고 불쌍하여,negative,-1
가엾고 불쌍한,negative,-1
가엾고 불쌍함,negative,-1
가엾고 애처롭다,negative,-1
가음 아프고,negative,-1
가짜,negative,-1
가치 없는,negative,-1
가치가 없다,negative,-1
가치가 없을,negative,-1
가치가 없이,negative,-1
가치없는,negative,-1
가혹하게,negative,-1
가혹하게 착취하여,negative,-1
간 장애,negative,-1
간사한 짓을,negative,-1
감금하여,negative,-1
감정의 불화,negative,-1
강간죄,negative,-1
강개무량,negative,-1
강개무량하다,negative,-1
강제로 누르다,negative,-1
강제로 누름,negative,-1
강제로 빼앗아,negative,-1
강제적으로,negative,-1
강탈,negative,-1
