word,label,y
ㄱㅅ,positive,1
ㄱㅇㄷ,positive,1
가격이 싸다,positive,1
가까이 사귀어,positive,1
가까이하다,positive,1
가다듬어,positive,1
가다듬어 수습하는,positive,1
가다듬어 수습하다,positive,1
가다듬어 정하다,positive,1
가당히,positive,1
가뜬하게,positive,1
가라앉혀 바로잡다,positive,1
가르치며,positive,1
가르침,positive,1
가벼운 마음으로,positive,1
가볍게 웃다,positive,1
가볍고,positive,1
가볍고 보드랍게,positive,1
가분가분,positive,1
가분히,positive,1
가뿐가뿐,positive,1
가뿐가뿐하다,positive,1
가뿐가뿐히,positive,1
가뿐하게,positive,1
가뿐하다,positive,1
가뿐한,positive,1
가뿐한 느낌,positive,1
가뿐한 느낌이,positive,1
가뿐히,positive,1
가장 중요한,positive,1
가지런하게 하는,positive,1
가지런하게 하다,positive,1
가지런하다,positive,1
가치,positive,1
가치가,positive,1
가치있는,positive,1
각별나다,positive,1
각별하다,positive,1
간직하다,positive,1
감각적이다,positive,1
감당하다,positive,1
감동시킬,positive,1
감동시킬 만한,positive,1
감모,positive,1
감싸고,positive,1
감정이 북받쳐,positive,1
강렬하게,positive,1
강세,positive,1
강인하다,positive,1
강하게,positive,1
강하게 하다,positive,1
강하고,positive,1
강하다,positive,1
강화하다,positive,1
갖추다,positive,1
개선하고,positive,1
개성,positive,1
개성있는,positive,1
개성있다,positive,1
갠소,positive,1
갸륵한,positive,1
갸륵한 데가,positive,1
갸름하다,positive,1
거리낌 없이,positive,1
거짓 없다,positive,1
거짓없다,positive,1
거침없이,positive,1
거침이 없는,positive,1
걱정이 없는,positive,1
건강에 긍정적인,positive,1
건둥건둥,positive,1
건둥건둥하다,positive,1
검소하다,positive,1
겉면이 매끄럽고,positive,1
겉모양의 아름다움과,positive,1
격려되다,positive,1
격려하다,positive,1
격식에 맞아,positive,1
견고하다,positive,1
견디어 내다,positive,1
견줄 수 없을 정도로,positive,1
결점이 없도록,positive,1
겸손하게,positive,1
겸손하게 이르는,positive,1
겸손하고,positive,1
