video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
9sKnq1NLNEg,17,Sports,짐종국 헬스장 뽀뽀 사건  (풀영상 댓글 확인) #짐종국 #김무열 #영화 #대외비 #shorts,39132,867,2023-02-28 08:01:44+00:00,#짐종국 #김무열 #영화 #대외비 #shorts
N0wlkDDl_O0,17,Sports,"'대외비(?)'였던 배우의 몸... (Feat. 배우 김무열, 영화 대외비)",471611,7409,2023-02-23 09:28:53+00:00,#김종국 #대외비 #김무열
iq4MhIq_RxA,17,Sports,"헬스 배우는 영화 배우.. (Feat. 영화 카운트의 진선규, 장동주)",529378,8592,2023-02-16 09:01:43+00:00,#김종국 #진선규 #카운트
SlWtdtHC4Ak,17,Sports,"유튜버로 돌아온 유느님.. (Feat. 유재석, 지석진)",2524757,37217,2023-02-09 09:00:14+00:00,#유재석
OAbdJOakj3k,17,Sports,저.. SM 아이돌 트레이너 아닙니다... (Feat. NCT 127),1075631,57078,2023-02-02 09:04:58+00:00,#nct127
uVWUshCqr3c,17,Sports,"어제보다 오늘 더 웃깁니다.. (Feat. 차태현, 장혁, 홍경민, 홍경인)",3473687,43396,2023-01-29 09:19:04+00:00,#용띠클럽
bAJN51Wi8oc,17,Sports,"용띠클럽 포레버.. (Feat. 차태현, 장혁, 홍경민, 홍경인)",3509159,44796,2023-01-26 09:05:18+00:00,#용띠클럽
JV5u0tHVrX4,17,Sports,어느 헬스장에 내놔도 부끄러운 짐종국 PD..,649586,7987,2023-01-12 09:01:49+00:00,#헬린이
EJrRZczyuXE,17,Sports,나다 싶으면... 헬스장 등록하자.. (Feat. 김영광),1200678,15249,2023-01-05 09:01:28+00:00,#김영광
Le1JXGv9Doo,17,Sports,PD 집합 시키는 연예인,1988284,31656,2022-12-29 09:45:16+00:00,#런닝맨
4xx00YZqhJs,17,Sports,"인생 첫 백화점 쇼핑... (Feat. 소야, 소미)",852382,11691,2022-12-22 09:01:13+00:00,#크리스마스
7LshNLC2O7E,17,Sports,우리는 매일 운'동해'... (Feat. 슈퍼주니어 동해),1485332,26032,2022-12-15 09:00:55+00:00,#동해
9AE0wEEM14s,17,Sports,생일빵 대신 PT빵... (Feat. 양세찬),2329114,33597,2022-12-08 09:29:36+00:00,#양세찬
fk0isUS19Xs,17,Sports,16강.. 해낼 줄 알았습니다..,1036989,15605,2022-12-05 09:01:21+00:00,#월드컵
3U7FTyXAvoQ,17,Sports,"운동하면 얼마나 신나세호 (Feat. 조세호, 남창희)",1168375,11834,2022-12-01 09:27:11+00:00,#김종국 #조세호 #남창희
qNrbBsxAJdo,17,Sports,"K-발라더의 흔한 피지컬.. (Feat. 양다일, 적재)",1082265,13257,2022-11-24 08:59:44+00:00,#김종국 #양다일 #적재
QjFL-IBjj-4,17,Sports,"거 봐.. 노래는 등이라니까.. (Feat. 양다일, 적재)",1736890,13878,2022-11-17 09:12:45+00:00,#짐종국 #양다일 #적재
-TeyecdLfzc,17,Sports,운동 선수였던 후배와 운동 선수같은 선배.. (Feat. 잭슨),2328706,56967,2022-10-27 09:06:13+00:00,#잭슨
RL_ly_U_jog,17,Sports,육아가 이렇게 힘듭니다.. (Feat. 딘딘),1610561,19480,2022-10-20 09:08:52+00:00,#딘딘
laC-MzM-yss,17,Sports,20대 아이돌과 27년 전 아이돌 (Feat. 르세라핌),4862316,100073,2022-10-13 09:01:13+00:00,#르세라핌
