video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
fSjRuMC8Tws,23,Comedy,중국 애국주의 영화가 주는 섬뜩한 메시지,612834,8685,2023-02-24 09:55:14+00:00,#만강홍
eYTGN1JUVoQ,23,Comedy,창고 빌려주고 유튜브 CEO가 된 사람,524571,7060,2023-02-23 12:24:58+00:00,#창고지으러갑니다
76NunQMTJMc,23,Comedy,독특한 섬나라 대한민국,989597,14836,2023-02-22 10:17:38+00:00,#K갈라파고스
whsdMqj1JYQ,23,Comedy,희미해져가는 통일 의식,649755,9284,2023-02-21 12:30:58+00:00,#우리의소원은
m05Vw5Qhaxs,23,Comedy,'공식적 경기 둔화'를 선언한 대한민국,966554,13512,2023-02-20 12:07:14+00:00,#5배럭 #땡겨짓기
WohmjyDLiVg,23,Comedy,"대우건설 시공권 포기, 불안한 부동산 미분양 리스크",1213301,15141,2023-02-17 12:47:49+00:00,#전설의홈쇼핑
jqAi5Qnj3KY,23,Comedy,미국 중국의 의문의 풍선 격추시키다.,651091,8862,2023-02-16 09:49:24+00:00,#오버로드잡는데야마토를쏘네
EXNvRul-4Tk,23,Comedy,"마음 급한 구글, 회심의 AI 챗봇 바드 공개 대참사",823893,11351,2023-02-15 11:22:29+00:00,#스카이넷
IGB8czwm9-w,23,Comedy,"치열한 암투와 복잡한 속사정, SM 인수대전",967733,13295,2023-02-14 11:46:14+00:00,#각축
pSwRhoVQM8Y,23,Comedy,"필사의 구조작전, 기적이 필요한 튀르키예",490025,8093,2023-02-13 12:01:22+00:00,
CCDsAC0-XQc,23,Comedy,"브렉시트 후 3년, 휘청이는 대영제국",1052740,14399,2023-02-10 11:37:27+00:00,#구
sruC4aX-dZ0,23,Comedy,"사치품 소비 세계 1위, 럭셔리계의 큰 손 대한민국",769258,11546,2023-02-09 11:29:01+00:00,#명품 #사치품 #럭셔리
z9NhFqGs4Yk,23,Comedy,"무역수지 - 475억 달러, 사상 최대 적자",998951,13558,2023-02-08 13:06:16+00:00,#누가대한민국의미래를묻거든
