video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
_JgrKAorgcc,20,Gaming,대자연일때 도발걸지 말랬잖아,14236,1051,2023-03-01 06:00:13+00:00,#김진우 #김똘복 #대자연 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #친구
knDVN3_4yyA,20,Gaming,오랜만에 봐도 익숙한 맛이구만,103036,2374,2023-02-27 06:00:25+00:00,#푸린 #악녀 #김왼팔 #공포게임 #ghostwatchers
j4t-14pH42g,20,Gaming,역 자결식당 당해버렸습니다...,88507,2002,2023-02-26 06:00:16+00:00,#핑맨 #초콜릿 #자결식당 #리뷰 #발렌타인데이 #캠 #캠방 #노가리 #리액션 #수치 #꿀잼 #컨텐츠 #합방 #요리 #괴식 #초보 #요리 #캠방 #요리방송 #요리초보 #요알못 #포이즌쿠킹 #공포 #아구이뽀요리 #합방 #연금술
9jz9K6Xuxkc,20,Gaming,왜 룰렛돌리고 청산을 안받냐고,103874,2163,2023-02-24 06:00:08+00:00,#트수 #시참 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #트위치 #생방 #소통 #지갑 #도야지갑 #룰렛 #가챠 #청산
RRdd8cLtVB4,20,Gaming,고맙긴 한데 뭘 넣고 있는 거니?,64834,1437,2023-02-22 06:00:13+00:00,#핑맨 #초콜릿 #발렌타인데이 #캠 #캠방 #노가리 #리액션 #수치 #꿀잼 #컨텐츠 #합방 #요리 #괴식 #초보 #캠방 #요리초보 #요알못 #아구이뽀
V9gL-oPzNK8,20,Gaming,얘들아 그만때리고 직업소개 하라니까...,97566,2028,2023-02-20 06:00:11+00:00,#시청자 #직업 #소개 #탐방 #트수 #시참 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #트위치 #생방 #소통 #지갑 #도야지갑
NKLdQY-lOxQ,20,Gaming,게임에 돈을 쓰게 되는 이유 #shorts,17542,498,2023-02-19 06:00:11+00:00,#원신 #캐릭터 #알하이탐 #소 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #genshinimpact #게임 #가챠 #전무
5vePiAPWdow,20,Gaming,김진우 방송 터뜨리기,104967,2231,2023-02-17 06:00:28+00:00,#김진우 #민결희 #95즈 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #95년생 #친구 #안마기
yc6pF7tVAmc,20,Gaming,29살 먹고 제일루 주접떨기,44525,1015,2023-02-16 07:00:30+00:00,#세라프 #연초파티 #페르소나 #컨텐츠 #VR #새아바타 #새캐릭터 #New #avatar #vtuber #vrchat #fullbody #trackers #노가리 #토크 #꿀잼 #꽃핀 #견자희 #삐부 #금사향 #vr챗 #주접 #페이셜
egwE976mrLI,20,Gaming,X됐다... 진정하라고...,103638,2008,2023-02-13 06:00:21+00:00,#트수 #시참 #노가리 #컨텐츠 #디스 #꿀잼 #토크 #리액션 #토론 #레전드 #대화 #트위치 #생방 #소통 #지갑 #도야지갑 #룰렛
