video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
j6V4Nk6dIfc,20,Gaming,"스트리머 수십명 앞에서 ""애교벌칙"" - 【 2023년 1월 하이라이트 】",98087,2211,2023-02-28 05:45:00+00:00,#월간 #핫클립
eq6evIELUpw,20,Gaming,시청자 게시판에 등장한 트순이들...🔥,216900,3526,2023-02-27 05:45:01+00:00,#시청자 #콘테스트
kNn6ZcRoDV4,20,Gaming,고소할 사람이 한명 더 늘었다...,72892,1202,2023-02-25 03:24:18+00:00,#똘실 #발로란트
HhoBfRpnf_c,20,Gaming,이게 무슨 소리지...???????,230689,3621,2023-02-24 05:45:00+00:00,#코렛트 #방탈출
xhBl6204w38,20,Gaming,이젠 멍멍이 취급이냐고~!,96742,1848,2023-02-22 05:45:01+00:00,#코렛트
PdHUSGMwbRo,20,Gaming,아이돌 콘서트에 초대 받은 나 !!!!!!!,93960,1835,2023-02-19 05:28:49+00:00,#세라프 #아이돌
t5zKyjdaU2I,20,Gaming,스트리머 목소리를 들은 일반인 반응 #shorts,28966,953,2023-02-17 06:56:20+00:00,#shorts #발로란트
ZIfDhQhdaBE,20,Gaming,오프숄더가 뭐 어때서 !!!,194483,3060,2023-02-16 05:50:06+00:00,#김진우 #짜누 #김욕진 #폴가이즈
efu_IiG2J_4,20,Gaming,시청자 패션 콘테스트를 열었더니...,121697,1985,2023-02-15 07:03:27+00:00,#시청자 #콘테스트
F2migsv9HUQ,24,Entertainment,인생 첫 고양이 코스프레...,333672,6398,2023-02-12 09:18:42+00:00,#코스프레 #캠방송
wXIV6mdvvZk,20,Gaming,드디어 밝혀지는 그녀의 취향 ㄷㄷ,45585,747,2023-02-11 02:58:08+00:00,#붕괴스타레일 #이쁘다히메코쨩
LcqzivESuSw,20,Gaming,"친누나에게 ""사랑해❤️"" 받은 남동생의 반응 ㅋㅋㅋㅋㅋ",242558,3585,2023-02-10 06:49:15+00:00,#카톡짤 #월드컵
S9s50LJSPWw,20,Gaming,헤헹 다이어트 성공인가 !!!!!,88602,1210,2023-02-09 05:45:00+00:00,#꽃핀 #위치잇
jYbYwh0x6Kg,20,Gaming,스트리머 10명 앞에서 고로시 당함 ㅠ,97361,1650,2023-02-08 05:45:00+00:00,#갈틱폰 #합방
d3Ww01mCUbs,20,Gaming,첫 만남에 인정 받아버렸다...,108157,1267,2023-02-03 05:45:02+00:00,#러스트 #스트리머서버
NTeAW-xrBys,20,Gaming,"정체 숨기고 ""목소리"" 냈더니 일반인들 반응...",272600,4271,2023-02-02 05:45:00+00:00,#인게임보이스 #반응
siMsKEwN4L4,20,Gaming,사장님 유튜브 암살하는 편집자 ㅋㅋㅋㅋㅋ,377575,13584,2023-01-31 05:45:01+00:00,#shorts #편집자
v4JX-zWLmBI,20,Gaming,코대노 나오기 1초 전 ㅋㅋㅋㅋㅋ,96415,1302,2023-01-28 07:01:39+00:00,#마피아 #합방
UbMoXEsM9xs,20,Gaming,신체 비밀을 들킨 시청자들 ㅋㅋㅋㅋㅋ,211808,4852,2023-01-27 06:10:24+00:00,#shorts #시청자
j6043kqyfgs,20,Gaming,이게 무슨 대화야 ㅋㅋㅋ - 【 2022년 12월 하이라이트 】,92507,1527,2023-01-26 05:45:01+00:00,#월간 #핫클립
ox21j8BQXcA,15,Pets & Animals,"산타걸 코스프레 중 ""친언니"" 등장【 캠방송 】",304574,5166,2023-01-20 05:45:00+00:00,#크리스마스 #캠방송
ZB9BPdg58GI,20,Gaming,개노답 듀오와 그걸 지켜보는 스트리머들 ㅋㅋㅋㅋㅋ,88138,1207,2023-01-19 05:45:00+00:00,#감뚜코헤 #롤
t9ji1q8KYQk,20,Gaming,덤벼라 노딱아!!!!!!! 🔥,85791,1628,2023-01-15 03:24:00+00:00,#러브인로그인 #미연시
804ulcK6TOw,20,Gaming,응애 보호 받아버렷...,92202,1362,2023-01-14 02:45:00+00:00,#마피아게임
5gX8qYvhnf4,20,Gaming,메이드복 입고 제로투를 췄다고? #shorts,227460,6930,2023-01-13 06:18:33+00:00,#코렛트 #김뚜띠
I4-IUXO9p8I,20,Gaming,이 엄청난 분들이 왜 내 방송에...???????,103293,1283,2023-01-11 05:45:01+00:00,#발로란트 #학살범퍼행수스티치
XqbWsJPmN1I,20,Gaming,그 유명한 니케 하다가 극락 갔습니다...,74599,1304,2023-01-09 05:45:00+00:00,#니케 #NIKKE #nikke #승리의여신니케 #니케승리의여신 #승리의여신
uXez5NlrnYA,20,Gaming,술 먹고 스트리머들 괴롭히기 ㅋㅋㅋㅋㅋ,142574,2481,2023-01-08 02:45:03+00:00,#뿡지짜코 #술
Sb6q77DYmko,20,Gaming,얼공한 사람한테 그런 말 하면...,227600,3064,2023-01-07 02:45:01+00:00,#코렛트 #자꾸빻았대이자식이
qQYjJZlNX8M,20,Gaming,투명물약으로 괴롭힘 당하는 스트리머 ㅋㅋㅋㅋㅋ,233445,6253,2023-01-06 05:45:01+00:00,#shorts #김뿡
4hi0aG4SBFo,20,Gaming,"시청자 강제 ""닉변빵"" 했습니다 ㅋㅋㅋㅋㅋ",72062,1315,2023-01-05 05:45:59+00:00,#시청자 #닉변빵
EInGm2S7-7o,20,Gaming,임나은 나이공개 떴냐...?!,106668,1807,2023-01-04 05:45:00+00:00,#뿡램럽 #카트
dWiZs4pPmyM,20,Gaming,법정에서 보자 코렛트 !!!!!!!!!!,147762,1934,2023-01-02 05:45:01+00:00,#코렛트 #명일방주
0fBVrEku2Og,24,Entertainment,돌아온 크리스마스 캠방송,348359,6317,2022-12-30 02:44:17+00:00,#크리스마스 #캠방송
PNW6s79aJH0,20,Gaming,예쁘다는 말을 들은 스트리머의 반응 ㅋㅋㅋㅋㅋ,593184,14045,2022-12-27 05:45:00+00:00,#shorts #코렛트
WHjQ4oqg46Y,20,Gaming,무슨 플레이요...???,70108,1107,2022-12-24 02:45:01+00:00,#견와웁 #품멜파티
dOgdr9k9rUc,20,Gaming,VR챗 하다가 사고난 스트리머 ㅋㅋㅋㅋㅋ,136839,4095,2022-12-23 06:00:26+00:00,#shorts #vrchat
c8cARmO-nmw,20,Gaming,크리스마스 캠방송 의상 대공개  -【 2022년 11월 하이라이트 】,196983,3065,2022-12-22 05:46:36+00:00,#월간 #핫클립
