video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
7QnVBNbTVeM,24,Entertainment,궤도와 다시 하는 '지금 당장 있으면 좋을 과학 기술 월드컵',475920,6000,2023-02-26 10:00:04+00:00,#궤도,0
j67xuAK_qz4,24,Entertainment,놀러 온 궤도의 돈고추라면,720061,8437,2023-02-25 10:00:22+00:00,#궤도,1
7XRufU8uafs,24,Entertainment,학창 시절 가장 열받는 일 월드컵,809448,7300,2023-02-20 10:00:03+00:00,#카더가든 #비비,6
ndaymi8Mss4,24,Entertainment,카더가든 & 비비 초대석,997632,9876,2023-02-19 10:00:22+00:00,#카더가든 #비비,7
VfD-rap67hk,24,Entertainment,아이돌 모르는 사람의 딥 러닝 암기법,801101,10310,2023-02-17 10:00:19+00:00,#주호민,9
FwAf4mbaVis,24,Entertainment,사이좋게 나눠먹는 분식,1514601,17572,2023-02-16 10:00:18+00:00,#주호민,10
vxtFplAvnsM,24,Entertainment,김치순두제비는 언제 먹나요?,749273,10103,2023-02-14 10:00:40+00:00,#최고민수,12
a6Kw3GQxcKg,24,Entertainment,밀덕이 훌륭한 지휘관이 될 수 있을까?,890464,9863,2023-02-12 10:00:00+00:00,#임용한,14
mdsaZz5WVHU,24,Entertainment,계속되는 남도형 성우와의 토크,906949,16457,2023-02-09 10:00:34+00:00,#남도형,17
JgkdgAfTdBk,24,Entertainment,성우 남도형 초대석,928452,18359,2023-02-08 10:00:21+00:00,#남도형,18
u6AkFjEcvf8,24,Entertainment,고양이 아저씨와 벌레 아저씨,516229,7298,2023-02-04 10:00:37+00:00,#김풍 #심윤수,22
mNECLrVkXLY,24,Entertainment,평범함에 대하여,497958,6963,2023-02-02 10:00:24+00:00,#김풍,24
2K_q9U_PYOY,24,Entertainment,카트라이더: 드리프트 배도라지 그랑프리,354811,3326,2023-01-31 10:00:01+00:00,#배도라지,26
1CaLTHHsn8g,24,Entertainment,먹고 또 먹는 덕몽어스,551227,6041,2023-01-29 10:00:01+00:00,#배도라지,28
vagBS9UA6RE,24,Entertainment,이집트 전문가의 카트라이더 이집트 맵 분석하기,511531,6700,2023-01-28 10:00:39+00:00,#곽민수,29
7iEB36n0iwY,24,Entertainment,이집트를 알면 수능 점수가 (조금) 바뀐다,736052,6889,2023-01-27 10:00:04+00:00,#곽민수,30
psBQFkE_6tc,24,Entertainment,"410:1 경쟁률, 병건이네 민박｜방랑화가 이병건｜FIN. 제주",461736,6553,2023-01-25 10:00:11+00:00,#통닭천사,32
eNF2lT5s2Lc,24,Entertainment,혼 빼놓는 흑마술 vs 기 빨리는 일루션,979661,12118,2023-01-23 10:00:19+00:00,#김준표 #이은결,34
tbuWAN13cqg,24,Entertainment,좀비 사태에서 살아남는 게임,548679,6151,2023-01-21 10:00:34+00:00,#주호민,36
K3uVJDoFuhw,24,Entertainment,양정무 교수님의 '세상에서 가장 비싼 그림 이야기' 특강,1401399,12707,2023-01-20 10:00:18+00:00,#양정무 #주호민,37
DtFw3MuIeFE,24,Entertainment,행복한 입대를 위하여｜방랑화가 이병건｜EP.07 논산,404909,7914,2023-01-18 10:00:06+00:00,#통닭천사,39
2Wkn-e7MRKo,24,Entertainment,피식대학 세계관 등장인물 월드컵,772043,7261,2023-01-17 10:00:02+00:00,#피식대학 #박정민,40
5l5OUajgNOA,24,Entertainment,안녕 구찌,1779173,19132,2023-01-16 10:00:02+00:00,#피식대학 #박정민,41
2dmZLhS-inY,24,Entertainment,피식대학 초대석 (with 배우 박정민),1274918,14096,2023-01-15 10:00:26+00:00,#피식대학 #박정민,42
h3D6rKYKC9A,24,Entertainment,겨울은 신난다 (with 김아랑 선수)｜방랑화가 이병건｜EP.06 강원도 평창 & 강릉,454887,6745,2023-01-11 10:00:33+00:00,#통닭천사 #김아랑,46
cspfdOFcOsE,24,Entertainment,한국 좀비사태 발생시 필요한 현실능력 월드컵,1681759,11916,2023-01-10 10:00:29+00:00,#주우재,47
SP-LJqVgQuw,24,Entertainment,[ENG] 뉴진스 초대석,3854841,58753,2023-01-05 10:00:10+00:00,#뉴진스 #주우재,51
K6Pfi0yLav8,24,Entertainment,통닭천사 리즈 시절...｜방랑화가 이병건｜EP.05 서울 강남구,1284528,21618,2023-01-04 10:00:08+00:00,#통닭천사,52
RRnO-9xfJY8,24,Entertainment,많이 먹는 사람과 많이 먹기,1300589,13947,2023-01-03 10:00:21+00:00,#주우재,53
8RO8eUd0t0U,24,Entertainment,고놈 참 맛나것다｜방랑화가 이병건｜EP.04 여수,889221,12727,2022-12-28 10:00:04+00:00,#통닭천사,58
dE9e75gOQ0M,24,Entertainment,'블랙홀의 과학' 특강 | 제2부 본격적인 블랙홀 이야기,1359413,9466,2022-12-27 10:00:30+00:00,#궤도 #김풍,59
BYW59WPeBss,24,Entertainment,'블랙홀의 과학' 특강 | 제1부 강의의 지평선 너머로,1013932,9206,2022-12-26 10:00:10+00:00,#궤도 #김풍,60
rd2qDgHC1vg,24,Entertainment,임용한 박사님의 '전쟁사의 오해와 진실' 특강,1678945,19250,2022-12-25 10:00:31+00:00,#임용한,61
HJUKcCzKa0Q,24,Entertainment,김풍의 일본식 번데기 짬뽕,1054863,11334,2022-12-22 10:00:08+00:00,#김풍 #주호민,63
oTuqCpyI5Xs,24,Entertainment,독기 가득 충전된 상담소,677644,8941,2022-12-20 10:00:19+00:00,#김풍 #주호민,64
Nc8rOrODhTw,24,Entertainment,가수 미노이 초대석,794711,9066,2022-12-19 10:00:11+00:00,#미노이,65
pkhEJQ0FTCg,24,Entertainment,서울대는 다르다｜방랑화가 이병건｜EP.02 서울 : 서울대학교,874020,14158,2022-12-14 10:00:33+00:00,#통닭천사,68
5E03Yphawnw,24,Entertainment,일 벌이는 사람들 특,784741,9906,2022-12-12 10:00:04+00:00,#승우아빠,69
EdJIxjLPS5w,24,Entertainment,파라오는 매년 공개적으로 ○○를 했다?,560608,6296,2022-12-11 10:00:05+00:00,#곽민수,70
Wdpw6idowII,24,Entertainment,고대 이집트에는 헬리콥터가 있었다?,965052,9655,2022-12-10 10:00:28+00:00,#곽민수,71
beUfUgcr9Bg,24,Entertainment,시청자가 알려주는 러닝 설명회,847955,9590,2022-12-09 10:00:20+00:00,#김풍 #주호민,72
3N4BFRDuY4U,24,Entertainment,"방랑화가, 여정의 시작｜방랑화가 이병건｜EP.01 울산",950073,18671,2022-12-07 10:00:03+00:00,#통닭천사,73
0GVTi9nQoN8,24,Entertainment,침펄풍 밸런스 게임,1157403,12305,2022-12-05 10:00:00+00:00,#주호민,74
tZolEtoQyuY,24,Entertainment,막걸리 수육 떡볶이,1778538,16852,2022-12-04 10:00:22+00:00,#주호민 #김풍,75
46Vzj17L3rI,24,Entertainment,겨울철 간단한 김장,1159968,11637,2022-12-03 10:00:02+00:00,#주호민,76
SlByJ7nfmBM,24,Entertainment,랜덤 식재료로 만들어 먹기,905361,9044,2022-11-29 10:00:14+00:00,#김풍 #임세모,77
6Hq9LzvbE7Y,24,Entertainment,계속되는 토크와 야추 다이스 대결,868059,9226,2022-11-24 10:00:03+00:00,#류준열 #박정민,81
LWYRaJA8TSs,24,Entertainment,1123 올빼미팀 화이팅,1450000,17608,2022-11-23 10:00:10+00:00,#류준열 #박정민,82
i5yL7TNYJJQ,24,Entertainment,리버스 블랙기업,798454,11993,2022-11-21 10:00:21+00:00,#주호민 #김풍,83
0xckfkBis2U,24,Entertainment,(배불러도 남기지)마라샹궈,1783106,15520,2022-11-20 10:00:00+00:00,#김풍 #주호민,84
YqUBeniadKM,24,Entertainment,어색한 모임에서 친해지는 법,946315,11299,2022-11-19 10:00:32+00:00,#김풍 #주호민,85
fA5BhaxRvN0,24,Entertainment,가수 비비 초대석,1328891,14335,2022-11-18 10:00:33+00:00,#비비,86
qvBi0Vr5mFA,24,Entertainment,'시간의 과학' 특강 | 엔트로피나 올리는 기계,990581,9744,2022-11-14 10:00:35+00:00,#궤도 #김풍,88
D_DdyxvSdpA,24,Entertainment,손님 접대용으로 최고의 게임,688515,8387,2022-11-13 10:00:12+00:00,#김풍,89
xkMyVijvpOQ,24,Entertainment,침vs풍 즉흥토론 - 영화관 앞으로 사라진다? 남는다?,905510,8625,2022-11-12 10:00:29+00:00,#김풍,90
jlIUXUYV4Zc,24,Entertainment,빈폴과 함께하는 침펄통 남친룩 대결,819750,10164,2022-11-11 10:00:26+00:00,#주호민 #통닭천사,91
UWcgWLph_os,24,Entertainment,거울치료,1899458,22634,2022-11-06 10:00:17+00:00,#주우재,93
kaGg6f2rpXE,24,Entertainment,상업유튜버와 팝업유튜버,1034414,12578,2022-11-04 10:00:36+00:00,#주호민 #김풍,94
