video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
mhZBhpagdVU,24,Entertainment,롯데리아 전주 비빔라이스 버거,560399,7,2023-02-24 10:00:35+00:00,None,2
5ahN5s59M5I,24,Entertainment,한 달 늦은 뉴스 속보,549419,7,2023-02-23 10:00:03+00:00,None,3
4DLCaQZ6VC4,24,Entertainment,시디즈 실전용 게이밍 의자 (a.k.a 교잡종),443958,7,2023-02-22 10:00:02+00:00,None,4
l1Vncs1qw_M,24,Entertainment,(잔인주의) 너굴맨의 개과천선,366177,7,2023-02-21 10:00:34+00:00,None,5
e2tttO-8LUw,24,Entertainment,과자를 가루로 만들어 밥에 뿌려 드셔보시겠습니까?,669144,7,2023-02-18 10:00:20+00:00,None,8
xTxEq_64uQs,24,Entertainment,사진만 보고 무슨 라면인지 맞히기,596369,7,2023-02-15 10:00:38+00:00,None,11
h2LwNXWnsz4,24,Entertainment,야끼도리동 먹으며 고프로로 찍은 영상들 구경하기,316314,7,2023-02-13 10:00:17+00:00,None,13
PhWyC9sPF0M,24,Entertainment,모든 분리수거의 신,640923,7,2023-02-11 10:00:11+00:00,None,15
8hSds3puPQY,24,Entertainment,(잔인주의) 선량한 사람은 너굴맨이 처리했으니 안심하라구,473649,7,2023-02-10 10:00:09+00:00,None,16
nRBLhMZjazk,24,Entertainment,헛리버 공국(Principality of Hutt River)을 알아보자,417184,7,2023-02-07 10:00:27+00:00,None,19
koeM3TRigqU,24,Entertainment,AI는 삼국지를 알까?,693405,7,2023-02-06 10:00:21+00:00,None,20
52a69cv8t_o,24,Entertainment,고구마와 파인애플 피자,749275,7,2023-02-05 10:00:05+00:00,None,21
qQStxU4nC4o,24,Entertainment,'방랑화가 이병건' 촬영에 썼던 갤럭시 탭 S8 알아보기,275321,7,2023-02-03 10:00:37+00:00,None,23
cUJmNvaVE3U,24,Entertainment,딥 러닝으로 풀어보는 예능 게임,653649,9,2023-02-01 10:00:21+00:00,None,25
w2wREDRrROk,24,Entertainment,침착맨이 요즘 관심있는 것들,935287,9,2023-01-30 10:00:27+00:00,None,27
Wckcfh0Vu_E,24,Entertainment,서부개척시대 브이로그,660495,9,2023-01-26 10:00:26+00:00,None,31
2KxEIeVNOtQ,24,Entertainment,2022 침투부 어워즈 시상식 & 유튜브 총회,767951,9,2023-01-24 10:00:02+00:00,None,33
xZyoOfiBBUw,24,Entertainment,두리안 냄새까지 가두는 V-진공 포장,785165,9,2023-01-22 10:00:34+00:00,None,35
5M3y9XMZoPY,24,Entertainment,끊임없이 발전하는 콩고기버거,735556,9,2023-01-19 10:00:02+00:00,None,38
eWU7MdrVLNc,24,Entertainment,침소리 컨설팅으로 탄생한 빅-반,634542,9,2023-01-14 10:00:29+00:00,None,43
8PPUFdfzca0,24,Entertainment,"더 퍼스트 슬램덩크 (THE FIRST SLAM DUNK, 2022) 감상회",1290975,9,2023-01-13 10:00:03+00:00,None,44
za_EbAThN1A,24,Entertainment,침착맨이 로마군 소대장이 된다면,426891,9,2023-01-12 10:00:36+00:00,None,45
QAlkUzhL03U,24,Entertainment,고등어 솥밥과 슬램덩크 개혁안,634926,9,2023-01-09 10:00:19+00:00,None,48
z_OdvenYnAs,24,Entertainment,빵으로 벌어지는 연고전,1197323,9,2023-01-07 10:00:34+00:00,None,49
vO9sb-w1gdY,24,Entertainment,2023년 또 새롭게 태어난 NEW NEW 침착맨,1113962,9,2023-01-06 10:00:36+00:00,None,50
NeTqujXzubM,24,Entertainment,(※소리주의) 솜사탕 만드는 기계,658281,9,2023-01-02 10:00:09+00:00,None,54
ysetd_r8Z9M,24,Entertainment,침투부 Awards 2022: 한 해를 정리하는 권위없는 시상식,653259,10,2023-01-01 10:00:23+00:00,None,55
G2waLH_NGO4,24,Entertainment,2대 침착맨의 필요성,597985,10,2022-12-31 10:00:06+00:00,None,56
