video_id,view_count,like_count
ljP6X7gfNu8,761207,9230
rxeo-arlQd0,605358,8245
ZZfP4Si9nZk,168125,3969
pIiv6jd3TDE,58432,528
DZ-q7Z730mc,38365,477
IAN-5KEO2Wo,148892,2952
k96_lzExaCk,136056,3491
boom2zV3qXI,194059,3254
MeqISU8xNMs,75915,2021
7CEt9gHqh2I,148702,3631
0KNFV2-uFvc,454237,6950
H6q7InrtNzk,185205,3573
Xh25c5IPAcg,448200,6821
rdIgXWL9PuI,179497,3743
0Qtq7o6vLbg,114038,1701
Hm6WHAQMJdo,143824,2796
hWQ5imsk3Tc,219314,3361
41KBYCaWk7o,301579,5219
9tvjkFJghJA,739354,6752
leXEuSs_-Lk,96991,4625
VPuV2m_S0Gs,284901,4885
k0QXTO0pdGE,218994,3499
VmS8419wbCY,731320,9329
K188Lexb2OY,129537,2416
NxRTbRZDLfg,93346,2084
IkLnfTyTGdQ,268953,4483
z7dNSpOd0pw,35737,872
P1UmoQujgfY,159760,2651
DLolSfWmEg0,52476,867
1Tq2Vb4wP7o,76507,1454
4xYTafywOIQ,169240,3528
3NvufqmGP-o,211433,4347
_YL2bVRvyXI,127462,1924
-i5WbkdmF1M,339966,4859
i-UoNNQpRkQ,248804,2922
xvWNHl3eaaY,171448,3016
WRRwyhvaJlY,410744,8250
zrN-ybe49lg,43532,1161
TWrtdb5dFuo,269424,3592
gqoWCzzcORg,775196,12743
8JgkBFbO6oM,130251,2038
0n8cLEDd8bM,125188,2204
EWZGdQDsh7A,131475,2783
GN73Q2xnwZw,360016,4625
pgNC2d5Qxnw,90337,2668
6uLofnzh3kk,430055,22840
BNFVafiZ8cE,112219,2684
pMrUQHSyQzs,407627,5739
34opuHgvVr4,273123,6647
D9o-_Op2bZc,282712,12034
95dFtxdrno4,446049,7509
0ruk5wnUdSc,192734,4320
PdN3rxu_LNU,72512,1301
PRc4H90RoeU,310408,9368
T65PZXxD7tw,1524744,39224
qnK7XnHQyC0,148393,4345
gcDYS2TDRMA,432558,12513
gHXKc3K8pbw,129698,2577
c2ZDfBA9dx0,109941,1536
HJUq5NaDljc,252090,3348
ZvHnbHOIerk,209947,3612
qZRxPDygMgY,375096,8079
SoR2JmmOC7k,256982,5320
-kFoeh54nF4,325438,7297
NKgJ7_6qPY4,251979,4499
cL7FfS_bfVw,298368,5495
GYRxObkbt50,273814,4943
JyxCam3MPzM,242600,4857
km3XvqzPsMk,369922,5458
q0s9uBy29cQ,139768,3077
EraymZSLFg4,158369,3435
VCHGfy00Uok,738823,11064
Ynwm92g2hxQ,664690,13303
KNLI1x7bLVE,822701,19951
wcN271MvRHE,246497,5046
-b6TFV8_UVo,432331,6240
3xdn3uayL3k,491130,6599
HZiLf2ukPyQ,345381,4985
iPoKD7RtEFU,327892,6287
BPPu_4waehU,233577,4352
aMPI3A3PSto,163720,3124
oRoF2YYIWz4,288507,6549
mlleR5XJ0zA,284800,4474
UrR9qC6MGkk,185317,4190
-T9MLiRh3Bg,390393,4738
U9ax0fTpTgI,502414,14623
HpYuYqHfOmw,354263,4851
gTgGUEgbLLE,790911,14468
yYlEOZTt2aE,202596,3233
afBygzscoo0,953489,20431
HyjT2hma1kE,471346,7604
6eZVvEU_9RM,263319,3836
EPdcfx5Y95g,360228,9458
lVQ08LIcsXg,404059,5438
RyJ3esUP7Vg,94774,3099
PO5qOK3buzs,638938,9629
JGgNBWleyhY,118602,2600
SeDhLSNRqHc,514631,6606
XkBiWBbPT18,234568,3284
CnufBXNhG7o,253118,4469
