video_id,category_id,category_name,title,views_count,like_count,created_at
ljP6X7gfNu8,20,Gaming,[메이플 리부트] 2년전 보보보 사태의 나비효과,775308,9307,2023-02-20 08:11:34+00:00
rxeo-arlQd0,20,Gaming,[호그와트 레거시 초대박] 은 해리포터 덕들의 집안잔치일까?,609524,8285,2023-02-17 04:34:42+00:00
ZZfP4Si9nZk,20,Gaming,[챗GPT] 챗봇 쩌는 게 게임이랑 무슨 상관이겠냐,169142,3985,2023-02-11 10:45:02+00:00
pIiv6jd3TDE,20,Gaming,제이스 성우가 부자되는 법 남도형 #shorts,58622,530,2023-02-02 18:53:47+00:00
DZ-q7Z730mc,20,Gaming,제이스 잘하는 법: 우리 남도형 성우는 안 물어요 #shorts,38521,479,2023-02-02 18:53:03+00:00
IAN-5KEO2Wo,20,Gaming,e스포츠 토토 도입 찬반논쟁: 살길이냐 죽을길이냐,149068,2953,2023-01-30 10:01:48+00:00
k96_lzExaCk,20,Gaming,게임에 성우가 필요한 이유를 똑똑히 들려주마 [남도형 성우 특집],136248,3496,2023-01-28 02:07:19+00:00
boom2zV3qXI,20,Gaming,해외의 레전드 프로게이머는 누구인가 [WASD의 창시자],194637,3260,2023-01-21 01:08:07+00:00
MeqISU8xNMs,20,Gaming,깜놀 수법 빤히 보인다 보여 [칼리스토 프로토콜],75961,2022,2023-01-19 07:50:42+00:00
7CEt9gHqh2I,20,Gaming,[듀랑고 포함] K게임사들 다 겪어본 23년차 게임기획자의 폭풍 발언들,148739,3632,2023-01-11 04:03:26+00:00
0KNFV2-uFvc,20,Gaming,[더 리니지? 쓰론 앤 리버티?] 엔씨신작 친자확인 들어갑니다,454496,6952,2023-01-08 03:15:33+00:00
H6q7InrtNzk,20,Gaming,고백 성공률 100% 모태솔로도 15년 후 연애 할 수 있습니다 [ G식의밤 시즌3 디트로이트: 비컴 휴먼 #2 ],185337,3575,2023-01-06 08:02:38+00:00
Xh25c5IPAcg,20,Gaming,블리자드 82조 딜을 막아서는 101개의 세력들,448368,6822,2023-01-03 12:50:48+00:00
rdIgXWL9PuI,20,Gaming,[G식백과 선정] 2022년 웃음벨 감동벨 게임뉴스 총정리,179674,3744,2023-01-01 04:08:09+00:00
0Qtq7o6vLbg,20,Gaming,○○○섭 막공 탈주닌자 사태보다 심각한 일 [닌자 머스트 다이 광팔이 광고],114053,1701,2022-12-31 06:55:08+00:00
Hm6WHAQMJdo,20,Gaming,2038년의 안드로이드가 보급화 된 미래 [ G식의밤 시즌3 디트로이트: 비컴 휴먼 #1 ],143879,2796,2022-12-30 08:00:05+00:00
hWQ5imsk3Tc,20,Gaming,웰메이드 똥겜 : 염소 시뮬레이터 #shorts,219356,3362,2022-12-26 08:09:39+00:00
41KBYCaWk7o,20,Gaming,웰메이드 똥퀄로 하루만에 본전 뽑은 게임 [염소 시뮬레이터],302499,5234,2022-12-26 01:35:05+00:00
9tvjkFJghJA,20,Gaming,11년 만에 돌아온 명작의 귀환 디아블로4 [ G식의밤 시즌3 디아블로 Ⅳ #1 ],739825,6753,2022-12-23 08:00:07+00:00
leXEuSs_-Lk,20,Gaming,확률공개법은 왜 또 무산되었는가 (feat. 여의도 스웜러커),97014,4625,2022-12-22 10:43:54+00:00
VPuV2m_S0Gs,20,Gaming,18년 장수게임 카트라이더 서비스 종료 이야기,284967,4886,2022-12-19 07:11:42+00:00
k0QXTO0pdGE,20,Gaming,전UDT 에이전트H가 바라 본 모던워페어 속 SAS [ G식의밤 시즌3 콜 오브 듀티: 모던워페어Ⅱ #2 ],219492,3505,2022-12-16 08:03:01+00:00
VmS8419wbCY,20,Gaming,[디아블로4는 비싸다 vs 안비싸다] 이 영상을 본 후 생각이 서로 바뀝니다,731423,9331,2022-12-15 03:33:07+00:00
K188Lexb2OY,20,Gaming,블리자드 부사장이자 디아블로4 총책임자 로드퍼거슨 1:1 인터뷰,129542,2416,2022-12-11 11:54:08+00:00
NxRTbRZDLfg,20,Gaming,발로만든 발로란트는 왜 성공했는가 [발로 까면 라이엇이 보내는 것],93359,2084,2022-12-10 08:50:33+00:00
IkLnfTyTGdQ,20,Gaming,[에이전트H: 특수부대원 초빙] 콜 오브 듀티: 모던워페어Ⅱ 혹평의 이유 [ G식의밤 시즌3 콜 오브 듀티: 모던워페어Ⅱ #1 ],269110,4483,2022-12-09 08:00:07+00:00
z7dNSpOd0pw,20,Gaming,지스타 기립박수 받은 클로징 멘트 [파라곤 디 오버프라임],35740,872,2022-12-06 09:39:26+00:00
P1UmoQujgfY,20,Gaming,FIFA가 게임사로부터 월드컵을 앗아가자 벌어지는 일들,159781,2651,2022-12-05 04:02:45+00:00
DLolSfWmEg0,20,Gaming,피파23으로 보는 카타르 월드컵 우승국가 예측! [ G식의밤 시즌3 카타르 월드컵 #2 ],52478,867,2022-12-02 08:00:10+00:00
1Tq2Vb4wP7o,20,Gaming,[별이되어라2] 지스타 2022 무대,76511,1454,2022-11-30 07:37:24+00:00
4xYTafywOIQ,20,Gaming,2022 지스타를 빨아주는 댓이 유독 많이 보이더니만,169247,3528,2022-11-28 01:08:47+00:00
3NvufqmGP-o,20,Gaming,위메이드 위믹스 코인 상장폐지 사태 - 쌀먹의 시대는 물건너 갔는가,211446,4347,2022-11-26 07:57:23+00:00
_YL2bVRvyXI,20,Gaming,피파23 AI가 예측했던 한국 대 우루과이 전 [ G식의밤 시즌3 카타르 월드컵 #1 ],127468,1924,2022-11-24 07:55:42+00:00
-i5WbkdmF1M,20,Gaming,당신이 잘알던 갓오브워의 50가지 야동 봐야지 [갓오브워 라그나로크],340010,4860,2022-11-21 07:25:09+00:00
i-UoNNQpRkQ,20,Gaming,롤드컵이 월드컵이 될 수 없는 결정적인 이유!! [ G식의밤 시즌3 스타 vs LOL #2 ],248824,2922,2022-11-18 09:02:26+00:00
xvWNHl3eaaY,20,Gaming,언리얼 에픽게임즈 친자확인 비화 세계 최초공개 (feat. 넷마블 엔씨),171459,3016,2022-11-17 13:17:23+00:00
WRRwyhvaJlY,20,Gaming,[13년 LOL 역사상 최대 이변] DRX 소년만화 인간극장,411026,8253,2022-11-14 04:25:48+00:00
zrN-ybe49lg,20,Gaming,아무나 하는 게 아니었습니다. 겸손해지겠습니다. [로캣 게이밍 마우스],43534,1161,2022-11-12 08:00:34+00:00
TWrtdb5dFuo,20,Gaming,최고의 e스포츠 리그는 페이커의 LCK? 임요환의 스타리그?  [ G식의밤 시즌3 스타 vs LOL #1 ],269446,3592,2022-11-11 07:20:02+00:00
gqoWCzzcORg,20,Gaming,넥슨의 바다이야기 스팀 1위 달성 사태 [데이브 더 다이버],775223,12743,2022-11-09 14:24:49+00:00
8JgkBFbO6oM,20,Gaming,만약 조조가 부장님이라면!? 지각하면 모가지!  [ G식의밤 시즌3 삼국지 전략판 편 #2 ],130258,2038,2022-11-07 07:52:33+00:00
0n8cLEDd8bM,20,Gaming,[2022 좋소+인디 총결산] 한국계가 영국 좋소에 침투해서 만든 진성 덕후 인디까지,125192,2204,2022-11-04 08:49:04+00:00
EWZGdQDsh7A,20,Gaming,역대 최고의 게임 다큐멘터리 리뷰: EBS 게임에 진심인 편,131484,2783,2022-11-01 02:37:01+00:00
GN73Q2xnwZw,20,Gaming,침착맨 없는 삼국지! 삼국지가 천 년 동안 사랑받는 이유!  [ G식의밤 시즌3 삼국지 전략판 편 #1 ],360043,4625,2022-10-28 08:00:09+00:00
pgNC2d5Qxnw,20,Gaming,"K-게임사들아, 해외진출 어렵다고 핑계나 대지 마라 (핑핑이인 줄;)",90340,2668,2022-10-27 08:00:30+00:00
6uLofnzh3kk,20,Gaming,[게임위 혈세 50억 의혹 폭로] 게임V물관리V위원회 - 얘네 물관리 안 하냐?,430066,22840,2022-10-26 00:50:11+00:00
BNFVafiZ8cE,20,Gaming,벤터뷰와 맞교환한 숙제가 바로 이 숙제입니다 [마블스냅: 친한파 색목인이 만든 for KOREAN 빨리게임],112223,2684,2022-10-23 05:16:18+00:00
pMrUQHSyQzs,20,Gaming,호드 VS 얼라 누가 더 비열한가! [ G식의밤 시즌3 WOW 편 #2 ],407659,5739,2022-10-21 08:00:23+00:00
34opuHgvVr4,20,Gaming,벤브로드가 한국인들 데리고 좋소 창업해서 만든 한국형 하스스톤 [마블스냅],273138,6647,2022-10-18 22:58:59+00:00
D9o-_Op2bZc,20,Gaming,[게임위 밀실심사 전모] 기형적 등급분류: 왜 한국만 / 왜 게임만,282720,12035,2022-10-16 04:31:22+00:00
95dFtxdrno4,20,Gaming,WOW 리치왕의 분노로 블빠들의 분노를 잠재울 수 있을까? [ G식의밤 시즌3 WOW 편 #1 ],446080,7509,2022-10-14 08:00:03+00:00
0ruk5wnUdSc,20,Gaming,사우디왕가의 게임 / 구글 스태디아 대폭망 등 [2022 3분기 불타는 글로벌 게임늬우스],192736,4320,2022-10-12 03:06:31+00:00
PdN3rxu_LNU,20,Gaming,"걸작은 키마로 해도, 돈받고 해도 걸작인 이유 [마블스 스파이더맨 리마스터 PC판]",72518,1301,2022-10-06 12:17:25+00:00
PRc4H90RoeU,20,Gaming,G식백과 김성회 국정감사 소환 국회현장LIVE,310410,9368,2022-10-05 07:29:09+00:00
T65PZXxD7tw,20,Gaming,"망 사용료? 자, 이제 누가 매국노지?",1524827,39224,2022-09-30 02:30:13+00:00
qnK7XnHQyC0,20,Gaming,정말 딱 거기 살고 있었습니다 뭐라는지 직접 들어봤습니다,148395,4345,2022-09-28 12:20:51+00:00
gcDYS2TDRMA,20,Gaming,그래서 국정감사장에서 더 까불 생각입니다,432563,12513,2022-09-27 08:44:29+00:00
gHXKc3K8pbw,20,Gaming,누가 겜트북 사라고 칼들고 협박했냐? [게이밍노트북은 혜자인가 창렬인가],129705,2577,2022-09-08 03:00:18+00:00
c2ZDfBA9dx0,24,Entertainment,말딸 마차시위 현장 LIVE / 마지막 한바퀴 최종직선,109941,1536,2022-08-29 06:22:51+00:00
HJUq5NaDljc,24,Entertainment,"말딸 마차시위 현장 LIVE / 우천, 다습",252091,3348,2022-08-29 01:38:13+00:00
ZvHnbHOIerk,20,Gaming,[말딸 폭파사태] 인류최초 마차시위 판교 현장 LIVE,209967,3612,2022-08-27 07:35:05+00:00
qZRxPDygMgY,20,Gaming,무릎이 유퀴즈에서도 못다한 말들 [격겜 프로는 어떻게 먹고 살아야 하는가?],375137,8080,2022-08-26 09:01:18+00:00
SoR2JmmOC7k,20,Gaming,NC 김택진 대표가 실제로 한 말: 저흰 소작농입니다ㅠㅠ,256987,5320,2022-08-16 11:48:50+00:00
-kFoeh54nF4,20,Gaming,K-게임 사업부에게 직접 따온 어둠의 진실터뷰,325444,7297,2022-08-12 03:06:10+00:00
NKgJ7_6qPY4,20,Gaming,[말딸 말악귀]로 살아온 1개월의 경과 및 폐해를 낱낱이 보고 드립니다 (가챠 포함),251985,4499,2022-08-07 04:48:54+00:00
cL7FfS_bfVw,20,Gaming,이 등따신 개발자들은 왜 자기 인생 난이도를 불지옥으로 올렸을까 [룬텔러],298374,5495,2022-08-02 05:17:17+00:00
GYRxObkbt50,20,Gaming,심리학으로 싹 다 설명되는 LOL질병론의 사례들,273821,4943,2022-07-28 07:36:53+00:00
JyxCam3MPzM,20,Gaming,서브채널을 만들 수 밖에 없었던 이유 [고정댓글 확인 부탁드립니다],242655,4858,2022-07-27 12:29:25+00:00
km3XvqzPsMk,20,Gaming,스킨만 25억 들어있는 계정이 해킹 당함. 밝혀진 계정주인의 신분이 매우 특수함. [2022 2분기 골때뉴스],370068,5460,2022-07-22 10:48:50+00:00
q0s9uBy29cQ,20,Gaming,숙제 게임에다 양산 드립을 치면 고소당할까 안당할까 [세븐나이츠 레볼루션],139768,3077,2022-07-20 07:57:30+00:00
EraymZSLFg4,20,Gaming,미국의 비극들이 게임으로 짬처리 된 과정 [미국판 게임질병화 사건],158377,3435,2022-07-15 10:40:20+00:00
VCHGfy00Uok,20,Gaming,"세계97위 여성 게이머님 죄송합니다. 거울치료는 의료보험이 적용되지 않는 점, 사과 드립니다.",738839,11064,2022-07-07 11:32:19+00:00
Ynwm92g2hxQ,20,Gaming,전세금 올인한 마주가 해설을 맡으면 벌어지는 일 [말딸이 인간을 붕괴시키는 과정],664747,13305,2022-07-05 13:47:25+00:00
KNLI1x7bLVE,20,Gaming,Only 대한민국 스팀 성♡게임 금지논란을 추적하다,822714,19951,2022-07-04 04:49:26+00:00
wcN271MvRHE,20,Gaming,짬타수아 vs G타수아 [탑신봉자 현피대결],246499,5046,2022-06-29 09:08:19+00:00
-b6TFV8_UVo,20,Gaming,글로벌 극찬 K게임? 국뽕국까 원산지 논란 [칼리스토 프로토콜],432353,6240,2022-06-24 03:02:06+00:00
3xdn3uayL3k,20,Gaming,스트리트파이터: 그 폭력의 역사,491141,6599,2022-06-21 13:35:35+00:00
