video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
9sKnq1NLNEg,17,Sports,짐종국 헬스장 뽀뽀 사건  (풀영상 댓글 확인) #짐종국 #김무열 #영화 #대외비 #shorts,39132,867,2023-02-28T08:01:44Z,"짐종국 헬스장 뽀뽀 사건
풀영상 댓글 확인

#짐종국 #김무열 #영화 #대외비 #shorts"
N0wlkDDl_O0,17,Sports,"'대외비(?)'였던 배우의 몸... (Feat. 배우 김무열, 영화 대외비)",471611,7409,2023-02-23T09:28:53Z,"와.. 솔직히 이 정도인 줄 몰랐습니다.
정말 몸 관리며 운동 수행 능력이며 생각했던 것보다 너무 훌륭하신 배우님을 만났습니다.
영화 ‘대외비’로 찾아오신 김무열 배우님과 함께 운동했습니다!
운동 자체를 좋아하시고 삶에서 자연스럽게 즐기시는 모습이 멋있고 대단했습니다.
재밌게 보시고 영화 ‘대외비’도 많은 관심 부탁드립니다!
간만에 팔운동했는데 와.. 오지게 잘 먹었습니다.
팔 루틴 함 따라 해 보시길 추천드립니다!

영화 ‘대외비’
개봉 : 2023.03.01
배급 : 플러스엠 엔터테인먼트

#김종국 #대외비 #김무열"
iq4MhIq_RxA,17,Sports,"헬스 배우는 영화 배우.. (Feat. 영화 카운트의 진선규, 장동주)",529378,8592,2023-02-16T09:01:43Z,"오늘은 영화 ‘카운트’ 로 첫 단독 주연을 맡으신 영화배우 ‘진선규’ 님!   
그리고 기대받는 신인 배우 ‘장동주’ 님이 짐종국 을 찾아 오셨습니다! 

평소 악역 을 많이 하셔서 이미지가 굉장히 강해 보이셨던 진선규님이신데 
실제 성격은 굉장히 부드럽고 따듯하신 분이셨습니다! 

진솔하시고 성의있게 촬영에 임해주셔서 너무나 감사한 마음이었습니다.
그리고 장동주 배우님도 독특한 이력 과 함께 너무도 열심히 참여해 주셨습니다!

최근 헬스장에 처음 가셔서 여러 기구나 운동 루틴이 어색하시다는 의뢰에 맞춰서 제가 조금 조언을 해 드렸습니다!

재밌게 보시고 곧 개봉 할 영화 ‘카운트’ 도 많은 관심 부탁 드립니다! 

영화 ‘카운트’
개봉 : 2023.02.22
배급 : CJ ENM

#김종국 #진선규 #카운트"
SlWtdtHC4Ak,17,Sports,"유튜버로 돌아온 유느님.. (Feat. 유재석, 지석진)",2524757,37217,2023-02-09T09:00:14Z,"재석이 형이 유튜버로 돌아왔습니다 ㅎ
끝까지 받아들이지(?) 않는 우리 유느님 ㅋ 
제가 대놓고 유튜버 인증 시켰습니다!
초보 유튜버 재석이 형의 유튜브 뒷얘기! 
재밌게 보시고 즐거운 하루 보내시길 바랍니다! 

#김종국 #짐종국 #유재석"
OAbdJOakj3k,17,Sports,저.. SM 아이돌 트레이너 아닙니다... (Feat. NCT 127),1075631,57078,2023-02-02T09:04:58Z,"국위선양 에 힘쓰는 자랑스러운 우리 k-pop 아이돌! 
오늘은 SM 의 또다른 대표 아이돌 NCT 127 이 짐종국 을 찾아왔습니다! 

운동에 대해 점점 더 열린 마음을 갖고 있는 아이돌이 늘어난다는 점에서 굉장히 보람을 느끼는 요즘 입니다! 

조금이나마 도움이 될 수 있도록 맞춤형으로 현실적인 트레이닝을 함께 했습니다! 
언제나 우리 후배들이 오랫동안 꾸준히 건강하게 활동하길 바랍니다!

#김종국 #짐종국 #nct127"
uVWUshCqr3c,17,Sports,"어제보다 오늘 더 웃깁니다.. (Feat. 차태현, 장혁, 홍경민, 홍경인)",3473687,43396,2023-01-29T09:19:04Z,"멈추지 않는 오랜 찐친들의 토크, 그리고 대한민국 운동의 밝은 미래를 확인하는 시간이었습니다.
어릴 때부터 함께 한 격이 없는 친구들이다 보니 서로에게 조금 과격한 모습이 보이더라도 그 부분을 더욱 재밌게 봐주시길 바랍니다~

영상 보시고 오랜 친구들 생각 한 번씩 나시면 좋겠네요! 
남은 주말 푹 쉬십시요! 

#김종국 #짐종국 #용띠클럽"
bAJN51Wi8oc,17,Sports,"용띠클럽 포레버.. (Feat. 차태현, 장혁, 홍경민, 홍경인)",3509159,44796,2023-01-26T09:05:18Z,"명절이라서 함 다 불러 모아 봤습니다!
얼추 25년도 넘은 연예계 동네 친구들. 
정말 찐친 들의 폭풍 수다. 무지성 토크.
처음 공개하는 대형(?) 프로젝트.

어쩜 애들이 하나도 변한게 없는지.. 
사람 냄새나는 참 좋은 녀석 들 입니다.
뭘 하던지 앞으로도 많이 응원 해 주시고 아껴 주시기 바랍니다!
오늘 많이 우낍니다. 

시원하게 웃으시고 즐겁게 하루 마무리 하시길 바랍니다! 

#김종국 #짐종국 #용띠클럽"
Tv9FpllWeGk,17,Sports,전역 후 느끼는 사회의 맛... (Feat. 김동준),1379485,14103,2023-01-19T09:19:10Z,"오늘 함께 할 게스트는 사회에 나온 지 2일차! 
군 전역하고 바로 짐종국 으로 전역 신고를 하러 온 ㅎ 
아이돌 출신 떠오르는 배우 김동준 입니다! 

굉장히 성실하고 인성 또한 훌륭한 동준이와 함께 가볍게 한바퀴 돌아 봤습니다.
몸이 많이 좋아졌습니다. 
재밌게 즐겨주시고 성실하게 군 복무 를 마치고 돌아온 동준이 앞으로도 많은 관심과 응원 부탁 드립니다!"
JV5u0tHVrX4,17,Sports,어느 헬스장에 내놔도 부끄러운 짐종국 PD..,649586,7987,2023-01-12T09:01:49Z,"여러분들은 기분전환 어떻게 하시나요.? 
가끔 우울할때 일일권으로 새로운 헬스장에서 새로운 기구로 기분전환 적극 추천 합니다! 
맛집 투어 하시잖아요? 그 느낌 입니다~

일일권 끊으면 그 체육관 머신 다 쓰고 가고 싶은데.. 저만 그런가요?

그리고 우리 짐종국 PD 깔로스의 초헬린이 트레이닝! 
헬린이 분들 필수시청 바랍니다~ 

2023년 새해 다짐! 꾸준히 이어 가시길 바랍니다! 

#김종국 #짐종국 #헬린이"
EJrRZczyuXE,17,Sports,나다 싶으면... 헬스장 등록하자.. (Feat. 김영광),1200678,15249,2023-01-05T09:01:28Z,"2023년 계묘년 새해 가 밝았습니다!
새해가 되면 다짐하는 몇가지 중에 운동은 꼭 빠지지 않는 레퍼토리이자 실패가 많은 분야 중 하나 입니다.
오늘 콘텐츠 는 그런 우리 모두를 위한 동기부여 영상 입니다.

저렇게 생긴 사람들도.. 저렇게 열심히 운동 합니다.
무슨 얘긴지.. 아시죠? 

모든분들 새해 복 많이 받으시고 늘 부상 없이 행복하고 건강한 한해가 되시길 바랍니다.

#김종국 #짐종국 #김영광"
