video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
fSjRuMC8Tws,23,Comedy,중국 애국주의 영화가 주는 섬뜩한 메시지,612834,8685,2023-02-24T09:55:14Z,"0:00 ~ 11:45 중국 역사상 최악의 굴욕 '정강의 변'
11:45 ~ 18:22 중국의 애국주의 극치 영화

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#만강홍"
eYTGN1JUVoQ,23,Comedy,창고 빌려주고 유튜브 CEO가 된 사람,524571,7060,2023-02-23T12:24:58Z,"0:00 ~ 13:33 유튜브 CEO가 되는 방법
13:33 ~ 18:12 복이 넝쿨째 굴러들어온 운짱 3자매
18:12 ~ 22:18 미국의 차고 창업 (garage startup) 문화
22:18 ~ 27:02  부록 : 연령별 스마트폰 과의존 위험군 비중

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#창고지으러갑니다"
76NunQMTJMc,23,Comedy,독특한 섬나라 대한민국,989597,14836,2023-02-22T10:17:38Z,"0:00 ~ 4:47 OECD 국가중 애플페이 안되는 유이한 국가
4:47 ~ 9:40 자국만의 규제와 방식을 너무 많이 가진 나라
9:40 ~ 21:40 섬나라 대한민국의 K-갈라파고스

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#K갈라파고스"
whsdMqj1JYQ,23,Comedy,희미해져가는 통일 의식,649755,9284,2023-02-21T12:30:58Z,"0:00 ~ 8:23 희미해져가는 우리의 소원은 통일
8:23 ~ 14:53 통일, 관심없다. 42%
14:53 ~ 20:13 지구상 최악의 독재, 세습국가

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#우리의소원은"
m05Vw5Qhaxs,23,Comedy,'공식적 경기 둔화'를 선언한 대한민국,966554,13512,2023-02-20T12:07:14Z,"0:00 ~ 7:23 대한민국, 공식적으로 경기 둔화 국면 진입
7:23 ~ 15:14 삼전의 운명을 건 5팩토리 땡겨짓기
15:14 ~ 22:42 반도체 인재 육성이 필요하다

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#5배럭 #땡겨짓기"
WohmjyDLiVg,23,Comedy,"대우건설 시공권 포기, 불안한 부동산 미분양 리스크",1213301,15141,2023-02-17T12:47:49Z,"0:00 ~ 6:10 대우건설 440억 원 손실 처리, 시공권 포기
6:10 ~ 13:52 고조되는 미분양 리스크
13:52 ~ 21:12 대기업 두산을 뒤흔든 전설의 '일산 두산 위브 더 제니스 사태'
21:12 ~ 26:56 빈집계의 선진국

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#전설의홈쇼핑"
jqAi5Qnj3KY,23,Comedy,미국 중국의 의문의 풍선 격추시키다.,651091,8862,2023-02-16T09:49:24Z,"0:00 ~ 10:07 풍선 터트리는데 전투기씩이나?
10:07 ~ 17:56 필사적인 숟가락 얹기

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#오버로드잡는데야마토를쏘네"
EXNvRul-4Tk,23,Comedy,"마음 급한 구글, 회심의 AI 챗봇 바드 공개 대참사",823893,11351,2023-02-15T11:22:29Z,"0:00 ~ 15:12 불붙는 AI 경쟁과 구글의 비상사태
15:12 ~ 19:11 AI군비 전쟁이 펼쳐지고 있다
19:11 ~ 23:42 가슴 아픈 기업 메타

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#스카이넷"
IGB8czwm9-w,23,Comedy,"치열한 암투와 복잡한 속사정, SM 인수대전",967733,13295,2023-02-14T11:46:14Z,"0:00 ~ 5:49 발단
5:49 ~ 14:02 전개
14:02 ~ 24:55 위기, 절정

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#각축"
pSwRhoVQM8Y,23,Comedy,"필사의 구조작전, 기적이 필요한 튀르키예",490025,8093,2023-02-13T12:01:22Z,"0:00 ~ 14:25 필사적 구조작업이 이루어지고 있는 튀르키예
14:25 ~ 19:04 가장 부유했던 나라의 수도를 폐허로 만든 충격적인 리스본 대지진
19:04 ~ 22:44 최근 100년 간 가장 강력했던 수마트라 대지진
22:44 ~ 24:44 일본 지진 관측 역사상 최대 규모

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다."
CCDsAC0-XQc,23,Comedy,"브렉시트 후 3년, 휘청이는 대영제국",1052740,14399,2023-02-10T11:37:27Z,"0:00 ~10:34 '영국병의 귀환'
10:34 ~ 14:28 브렉시트의 최대 수혜국
14:28 ~ 21:20 생계를 위해 고군분투해야 할 것

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#구)해가지지않는나라"
sruC4aX-dZ0,23,Comedy,"사치품 소비 세계 1위, 럭셔리계의 큰 손 대한민국",769258,11546,2023-02-09T11:29:01Z,"0:00 ~ 8:07 사치품 세계 최대 큰 손 대한민국
8:07 ~ 18:47 남의 수입에 관심이 많은 나라
18:47 ~ 27:53 대한민국에서 외모가 갖는 의미란?

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#명품 #사치품 #럭셔리"
z9NhFqGs4Yk,23,Comedy,"무역수지 - 475억 달러, 사상 최대 적자",998951,13558,2023-02-08T13:06:16Z,"0:00 ~ 7:13 축배를 드는 미국 주식시장
7:13 ~ 29:39 묘하게 일본을 따라가는 모습의 대한민국
29:39 ~ 34:34 누가 대한민국의 미래를 묻거든,

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#누가대한민국의미래를묻거든"
AXdwXeMQiL0,23,Comedy,"미쳐버린 생활 물가, 큰 거 온다.",893388,12952,2023-02-07T11:52:30Z,"0:00 ~ 5:19 미쳐버린 전기요금, 가스요금, 큰거 오나?
5:19 ~ 13:58 모든게 다 오르는 대한민국
13:58 ~ 15:56 늘어나는 퇴직 공무원

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는
경제/시사/이슈/잡썰 토크방송입니다.

#큰거온다"
