video_id,category_id,category_name,title,views_count,like_count,uploaded_at
76NunQMTJMc,23,Comedy,독특한 섬나라 대한민국,617382,10925,2023-02-22 10:17:38+00:00
whsdMqj1JYQ,23,Comedy,희미해져가는 통일 의식,528382,8130,2023-02-21 12:30:58+00:00
m05Vw5Qhaxs,23,Comedy,'공식적 경기 둔화'를 선언한 대한민국,877068,12671,2023-02-20 12:07:14+00:00
WohmjyDLiVg,23,Comedy,"대우건설 시공권 포기, 불안한 부동산 미분양 리스크",1154993,14798,2023-02-17 12:47:49+00:00
jqAi5Qnj3KY,23,Comedy,미국 중국의 의문의 풍선 격추시키다.,635821,8713,2023-02-16 09:49:24+00:00
EXNvRul-4Tk,23,Comedy,"마음 급한 구글, 회심의 AI 챗봇 바드 공개 대참사",799954,11113,2023-02-15 11:22:29+00:00
IGB8czwm9-w,23,Comedy,"치열한 암투와 복잡한 속사정, SM 인수대전",936053,13042,2023-02-14 11:46:14+00:00
pSwRhoVQM8Y,23,Comedy,"필사의 구조작전, 기적이 필요한 튀르키예",484625,8037,2023-02-13 12:01:22+00:00
CCDsAC0-XQc,23,Comedy,"브렉시트 후 3년, 휘청이는 대영제국",1025479,14168,2023-02-10 11:37:27+00:00
sruC4aX-dZ0,23,Comedy,"사치품 소비 세계 1위, 럭셔리계의 큰 손 대한민국",758043,11450,2023-02-09 11:29:01+00:00
z9NhFqGs4Yk,23,Comedy,"무역수지 - 475억 달러, 사상 최대 적자",980879,13428,2023-02-08 13:06:16+00:00
AXdwXeMQiL0,23,Comedy,"미쳐버린 생활 물가, 큰 거 온다.",886206,12897,2023-02-07 11:52:30+00:00
5hMsY35Qo1o,23,Comedy,전쟁으로 횡재한 나라 노르웨이,847739,12312,2023-02-06 11:15:13+00:00
VLOEPFehehA,23,Comedy,※글로벌 리딩방※ 60% 보장해드리는 ☆★노리터★☆,847765,12475,2023-02-03 10:20:53+00:00
v9hpFhBr9Uw,23,Comedy,25년 된 슬램덩크 흥행과 대한민국 웹툰 시장,575110,7999,2023-02-02 13:36:55+00:00
UFAgxZ5DNvw,23,Comedy,"경제 위기 아르헨티나, 지푸라기라도 잡는 심정",665923,8202,2023-02-01 12:19:31+00:00
i6oLlZ-zfNc,23,Comedy,"독일, 최강탱크 '레오파드2' 우크라이나 보내겠다.",751696,10524,2023-01-31 10:55:01+00:00
7pm7p4WI3fs,23,Comedy,"20년 래 최악의 실적, 역사적 붕괴를 겪고 있는 인텔",1011007,12668,2023-01-30 11:18:05+00:00
751pwfZ_0aI,23,Comedy,"30년 묵은 난제, 유치원, 어린이집 통합 가능할까",615273,8811,2023-01-27 12:02:37+00:00
UUqsXSrkl_g,23,Comedy,"무제한 양적완화 종료, 앞에 선 일본 중앙은행",1036485,13879,2023-01-26 11:19:31+00:00
pltJO57HeFU,23,Comedy,먹고 살기 비싼 나라 대한민국,811890,11691,2023-01-25 10:10:04+00:00
