video_id,category_id,category_name,title,views_count,like_count,uploaded_at,description
5ahN5s59M5I,24,Entertainment,약 한 달 밀린 속보들,321217,5362,2023-02-23T10:00:03Z,"▶관련 영상
  •침착맨이 요즘 관심있는 것들: https://youtu.be/w2wREDRrROk

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 13일 방송분: https://www.youtube.com/live/s0sc5MpWEic

#침착맨 #뉴스"
4DLCaQZ6VC4,24,Entertainment,시디즈 실전용 게이밍 의자 (a.k.a 교잡종),359598,4251,2023-02-22T10:00:02Z,"시디즈 GC PRO의 [진짜 게임을 시작한 당신에게]
광고 영상 보러가기 : https://youtu.be/0MKy4GeIkkY

시디즈 GC PRO 랜선 체험하기 : http://www.sidizgaming.com/gcpro

#시디즈GCPRO #GCPRO #시디즈게이밍의자 #진짜게임을시작한당신에게 #그렇게게이머가된다

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 14일 방송분: https://www.youtube.com/live/3mnZKYwiVac"
l1Vncs1qw_M,24,Entertainment,(잔인주의) 너굴맨의 개과천선,312871,3790,2023-02-21T10:00:34Z,"▶관련 영상
  •(잔인주의) 선량한 사람은 너굴맨이 처리했으니 안심하라구: https://youtu.be/8hSds3puPQY

▶관련 재생목록
  •레드 데드 리뎀션 2 (Red Dead Redemption 2): https://https://www.youtube.com/playlist?list=PLif_jr7pPZADtlx8QIJNJF-6XURHoRO1k

▶생방송 원본
  •2023년 1월 30일 방송분: https://www.youtube.com/live/6Hn9h4M3R-E

#침착맨 #레데리2 #reddeadredemption"
7XRufU8uafs,24,Entertainment,학창 시절 가장 열받는 일 월드컵,738795,6879,2023-02-20T10:00:03Z,"▶관련 영상
  •카더가든 & 비비 초대석: https://youtu.be/ndaymi8Mss4

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 10일 방송분: https://youtu.be/cYOqd3GINa4

▶출연
  •카더가든(@Carthegarden), 비비(@naked_BIBI), 침착맨

#침착맨 #카더가든 #비비"
ndaymi8Mss4,24,Entertainment,카더가든 & 비비 초대석,887129,9335,2023-02-19T10:00:22Z,"▶관련 영상
  •이름이 많은 사람: https://youtu.be/eixLlnY-TrA
  •가수 비비 초대석: https://youtu.be/fA5BhaxRvN0

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 10일 방송분: https://youtu.be/cYOqd3GINa4

▶출연
  •카더가든(@Carthegarden), 비비(@naked_BIBI), 침착맨

#침착맨 #카더가든 #비비"
e2tttO-8LUw,24,Entertainment,과자를 가루로 만들어 밥에 뿌려 드셔보시겠습니까?,631754,7602,2023-02-18T10:00:20Z,"▶관련 영상
  •신개념 사업 구상 - 가루 삼겹살: https://youtu.be/gwHQLBUStO4

▶관련 재생목록
  •침착맨의 식욕저하 다이어트 먹방: https://url.kr/a4vk8m

▶생방송 원본
  •2023년 2월 14일 방송분: https://www.youtube.com/live/Ar9gKiBNHw0

#침착맨 #맛가루 #먹방"
VfD-rap67hk,24,Entertainment,아이돌 모르는 사람의 딥 러닝 암기법,728072,9736,2023-02-17T10:00:19Z,"▶관련 영상
  •딥 러닝으로 풀어보는 예능 게임: https://youtu.be/cUJmNvaVE3U

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 7일 방송분: https://www.youtube.com/live/u1-TzHB6lWA

▶출연
  •주호민(@joopearl), 침착맨

#침착맨 #주호민 #인물퀴즈"
FwAf4mbaVis,24,Entertainment,사이좋게 나눠먹는 분식,1409741,16925,2023-02-16T10:00:18Z,"▶관련 영상
  •떡볶이로 식사가 될까?: https://youtu.be/WQokyoYgZ_s

▶관련 재생목록
  •침착맨의 식욕저하 다이어트 먹방: https://url.kr/a4vk8m

▶생방송 원본
  •2023년 2월 7일 방송분: https://www.youtube.com/live/u1-TzHB6lWA

▶출연
  •주호민(@joopearl), 침착맨

#침착맨 #주호민 #먹방 #분식"
xTxEq_64uQs,24,Entertainment,사진만 보고 무슨 라면인지 맞히기,584773,7519,2023-02-15T10:00:38Z,"▶관련 영상
  •가장 맛있는 라면을 뽑아라! 라면 월드컵: https://youtu.be/AcIZANFqEl8

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 6일 방송분: https://www.youtube.com/live/rMqgKBZUFYk

#침착맨 #라면 #퀴즈"
vxtFplAvnsM,24,Entertainment,김치순두제비는 언제 먹나요?,722815,9862,2023-02-14T10:00:40Z,"▶관련 영상
  •돌아온 고마운 최고민수: https://youtu.be/YLxRBicbGh4

▶관련 재생목록
  •👨‍🍳불만 피우면 쿡방: https://youtube.com/playlist?list=PLif_jr7pPZACEQ8CWYYcC2GDDqsJ2icOv

▶생방송 원본
  •2023년 2월 6일 방송분: https://www.youtube.com/live/XNjNUmxml5w

▶출연
  •최고민수(@user-ki5wp1ob7t), 침착맨

#침착맨 #최고민수 #쿡방"
h2LwNXWnsz4,24,Entertainment,야끼도리동 먹으며 고프로로 찍은 영상들 구경하기,312332,4098,2023-02-13T10:00:17Z,"▶관련 영상
  •끊임없이 발전하는 콩고기버거: https://youtu.be/5M3y9XMZoPY

▶관련 재생목록
  •침착맨의 식욕저하 다이어트 먹방: https://url.kr/a4vk8m

▶생방송 원본
  •2023년 2월 3일 방송분: https://www.youtube.com/live/sOSZJ5rycoc

덮밥장사장 - 야끼도리동: 9,400원

#침착맨 #고프로 #먹방"
a6Kw3GQxcKg,24,Entertainment,밀덕이 훌륭한 지휘관이 될 수 있을까?,819147,9536,2023-02-12T10:00:00Z,"▶관련 영상
  •임용한 박사님의 '전쟁사의 오해와 진실' 특강: https://youtu.be/rd2qDgHC1vg

▶관련 재생목록
  •침착맨과 특강: https://youtube.com/playlist?list=PLif_jr7pPZACfoFhBRTYpuhGn9etcTS3n

▶생방송 원본
  •2023년 2월 3일 방송분: https://www.youtube.com/live/4RmWmxS6Gs4

▶출연
  •임용한(@Limyonghan-TV), 침착맨

#침착맨 #임용한 #전쟁사"
PhWyC9sPF0M,24,Entertainment,모든 분리수거의 신,629900,7366,2023-02-11T10:00:11Z,"▶관련 영상
  •최고의 인성쓰레기를 찾아라! 애니속 쓰레기 월드컵: https://youtu.be/3_YAPxrIuro

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 2월 3일 방송분: https://www.youtube.com/live/sOSZJ5rycoc

덮밥장사장 - 야끼도리동: 9,400원

#침착맨 #쓰레기 #분리수거"
8hSds3puPQY,24,Entertainment,(잔인주의) 선량한 사람은 너굴맨이 처리했으니 안심하라구,461638,5099,2023-02-10T10:00:09Z,"▶관련 영상
  •서부개척시대 브이로그: https://youtu.be/Wckcfh0Vu_E

▶관련 재생목록
  •레드 데드 리뎀션 2 (Red Dead Redemption 2): https://https://www.youtube.com/playlist?list=PLif_jr7pPZADtlx8QIJNJF-6XURHoRO1k

▶생방송 원본
  •2023년 1월 25일 방송분: https://www.youtube.com/live/2Y0HmhBoxBg

#침착맨 #레데리2 #reddeadredemption"
mdsaZz5WVHU,24,Entertainment,계속되는 남도형 성우와의 토크,883760,16098,2023-02-09T10:00:34Z,"▶관련 영상
  •성우 남도형 초대석: https://youtu.be/JgkdgAfTdBk

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 1월 31일 방송분: https://www.youtube.com/live/omdZ3BGT0zQ

▶출연
  •남도형(@NDHblueclub), 침착맨

#침착맨 #남도형 #성우 #초대석"
JgkdgAfTdBk,24,Entertainment,성우 남도형 초대석,908525,18059,2023-02-08T10:00:21Z,"▶관련 영상
  •계속되는 남도형 성우와의 토크: https://youtu.be/mdsaZz5WVHU

▶관련 재생목록
  •침착맨의 일상재롱: https://goo.gl/OJ4Uoa

▶생방송 원본
  •2023년 1월 31일 방송분: https://www.youtube.com/live/omdZ3BGT0zQ

▶출연
  •남도형(@NDHblueclub), 침착맨

국밥 참 맛있는집 - 모둠국밥: 9,000원

#침착맨 #남도형 #성우 #초대석"
