video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags
n3AQATmdBjA,24,Entertainment,침착맨이 카드를 만든다면,223714,5402,2023-03-01 10:00:34+00:00,#카드
PTJpv8cdvZ4,24,Entertainment,귤(Mandarin orange)을 알아보자,431966,5052,2023-02-28 10:00:11+00:00,#귤 #도도부현
rcHy957I4Hs,24,Entertainment,게임은 패드로 해야 한다 vs 키마로 해야 한다,571009,7167,2023-02-27 10:00:33+00:00,#터틀비치 #로캣 #주호민
7QnVBNbTVeM,24,Entertainment,궤도와 다시 하는 '지금 당장 있으면 좋을 과학 기술 월드컵',864912,8208,2023-02-26 10:00:04+00:00,#궤도 #이상형월드컵
j67xuAK_qz4,24,Entertainment,놀러 온 궤도의 돈고추라면,866020,9260,2023-02-25 10:00:22+00:00,#궤도 #쿡방
mhZBhpagdVU,24,Entertainment,롯데리아 전주 비빔라이스 버거,620220,7400,2023-02-24 10:00:35+00:00,#전주비빔라이스버거 #먹방
5ahN5s59M5I,24,Entertainment,한 달 늦은 뉴스 속보,578796,7621,2023-02-23 10:00:03+00:00,#뉴스
4DLCaQZ6VC4,24,Entertainment,시디즈 실전용 게이밍 의자 (a.k.a 교잡종),456976,4931,2023-02-22 10:00:02+00:00,#시디즈GCPRO #GCPRO #시디즈게이밍의자 #진짜게임을시작한당신에게 #그렇게게이머가된다
l1Vncs1qw_M,24,Entertainment,(잔인주의) 너굴맨의 개과천선,384078,4277,2023-02-21 10:00:34+00:00,#레데리2 #reddeadredemption
7XRufU8uafs,24,Entertainment,학창 시절 가장 열받는 일 월드컵,831650,7400,2023-02-20 10:00:03+00:00,#카더가든 #비비
ndaymi8Mss4,24,Entertainment,카더가든 & 비비 초대석,1021282,9986,2023-02-19 10:00:22+00:00,#카더가든 #비비
e2tttO-8LUw,24,Entertainment,과자를 가루로 만들어 밥에 뿌려 드셔보시겠습니까?,681501,7976,2023-02-18 10:00:20+00:00,#맛가루 #먹방
VfD-rap67hk,24,Entertainment,아이돌 모르는 사람의 딥 러닝 암기법,830542,10509,2023-02-17 10:00:19+00:00,#주호민 #인물퀴즈
FwAf4mbaVis,24,Entertainment,사이좋게 나눠먹는 분식,1561730,17855,2023-02-16 10:00:18+00:00,#주호민 #먹방 #분식
xTxEq_64uQs,24,Entertainment,사진만 보고 무슨 라면인지 맞히기,601319,7653,2023-02-15 10:00:38+00:00,#라면 #퀴즈
vxtFplAvnsM,24,Entertainment,김치순두제비는 언제 먹나요?,760895,10203,2023-02-14 10:00:40+00:00,#최고민수 #쿡방
h2LwNXWnsz4,24,Entertainment,야끼도리동 먹으며 고프로로 찍은 영상들 구경하기,318389,4144,2023-02-13 10:00:17+00:00,#고프로 #먹방
a6Kw3GQxcKg,24,Entertainment,밀덕이 훌륭한 지휘관이 될 수 있을까?,940426,10076,2023-02-12 10:00:00+00:00,#임용한 #전쟁사
PhWyC9sPF0M,24,Entertainment,모든 분리수거의 신,646435,7513,2023-02-11 10:00:11+00:00,#쓰레기 #분리수거
8hSds3puPQY,24,Entertainment,(잔인주의) 선량한 사람은 너굴맨이 처리했으니 안심하라구,482517,5289,2023-02-10 10:00:09+00:00,#레데리2 #reddeadredemption
mdsaZz5WVHU,24,Entertainment,계속되는 남도형 성우와의 토크,920859,16666,2023-02-09 10:00:34+00:00,#남도형 #성우 #초대석
JgkdgAfTdBk,24,Entertainment,성우 남도형 초대석,940525,18556,2023-02-08 10:00:21+00:00,#남도형 #성우 #초대석
nRBLhMZjazk,24,Entertainment,헛리버 공국(Principality of Hutt River)을 알아보자,419263,4448,2023-02-07 10:00:27+00:00,#헛리버공국 #초소형국민체
koeM3TRigqU,24,Entertainment,AI는 삼국지를 알까?,704539,10793,2023-02-06 10:00:21+00:00,#ChatGPT #AI
52a69cv8t_o,24,Entertainment,고구마와 파인애플 피자,755406,8460,2023-02-05 10:00:05+00:00,#피자헛 #새콤달콤고구마피자
u6AkFjEcvf8,24,Entertainment,고양이 아저씨와 벌레 아저씨,519026,7311,2023-02-04 10:00:37+00:00,#김풍 #심윤수
qQStxU4nC4o,24,Entertainment,'방랑화가 이병건' 촬영에 썼던 갤럭시 탭 S8 알아보기,276105,3180,2023-02-03 10:00:37+00:00,#갤럭시탭S8
mNECLrVkXLY,24,Entertainment,평범함에 대하여,500137,6984,2023-02-02 10:00:24+00:00,#김풍 #고민상담소
cUJmNvaVE3U,24,Entertainment,딥 러닝으로 풀어보는 예능 게임,656754,7347,2023-02-01 10:00:21+00:00,#예능게임 #인물퀴즈
2K_q9U_PYOY,24,Entertainment,카트라이더: 드리프트 배도라지 그랑프리,356041,3331,2023-01-31 10:00:01+00:00,#카트라이더 #배도라지
w2wREDRrROk,24,Entertainment,침착맨이 요즘 관심있는 것들,938965,12377,2023-01-30 10:00:27+00:00,#포닝 #버블 #위버스
1CaLTHHsn8g,24,Entertainment,먹고 또 먹는 덕몽어스,553905,6051,2023-01-29 10:00:01+00:00,#배도라지 #덕몽어스
vagBS9UA6RE,24,Entertainment,이집트 전문가의 카트라이더 이집트 맵 분석하기,513043,6724,2023-01-28 10:00:39+00:00,#곽민수 #이집트 #카트라이더
7iEB36n0iwY,24,Entertainment,이집트를 알면 수능 점수가 (조금) 올라간다,748322,6931,2023-01-27 10:00:04+00:00,#곽민수 #이집트
Wckcfh0Vu_E,24,Entertainment,서부개척시대 브이로그,665494,6546,2023-01-26 10:00:26+00:00,#레데리2 #reddeadredemption
psBQFkE_6tc,24,Entertainment,"410:1 경쟁률, 병건이네 민박｜방랑화가 이병건｜FIN. 제주",462659,6559,2023-01-25 10:00:11+00:00,#통닭천사 #방랑화가이병건
2KxEIeVNOtQ,24,Entertainment,2022 침투부 어워즈 시상식 & 유튜브 총회,771554,9493,2023-01-24 10:00:02+00:00,#어워즈 #시상식
eNF2lT5s2Lc,24,Entertainment,혼 빼놓는 흑마술 vs 기 빨리는 일루션,984423,12156,2023-01-23 10:00:19+00:00,#김준표 #이은결
xZyoOfiBBUw,24,Entertainment,두리안 냄새까지 가두는 V-진공 포장,787223,8498,2023-01-22 10:00:34+00:00,#베트남 #과자 #먹방
tbuWAN13cqg,24,Entertainment,좀비 사태에서 살아남는 게임,550764,6171,2023-01-21 10:00:34+00:00,#주호민 #좀보이드
K3uVJDoFuhw,24,Entertainment,양정무 교수님의 '세상에서 가장 비싼 그림 이야기' 특강,1416421,12785,2023-01-20 10:00:18+00:00,#양정무 #주호민 #미술사
5M3y9XMZoPY,24,Entertainment,끊임없이 발전하는 콩고기버거,736985,8772,2023-01-19 10:00:02+00:00,#리아미라클버거 #먹방
DtFw3MuIeFE,24,Entertainment,행복한 입대를 위하여｜방랑화가 이병건｜EP.07 논산,405464,7917,2023-01-18 10:00:06+00:00,#통닭천사 #방랑화가이병건
2Wkn-e7MRKo,24,Entertainment,피식대학 세계관 등장인물 월드컵,776138,7279,2023-01-17 10:00:02+00:00,#피식대학 #박정민 #월드컵
5l5OUajgNOA,24,Entertainment,안녕 구찌,1781399,19141,2023-01-16 10:00:02+00:00,#피식대학 #박정민 #구찌의자
2dmZLhS-inY,24,Entertainment,피식대학 초대석 (with 배우 박정민),1280302,14125,2023-01-15 10:00:26+00:00,#피식대학 #박정민
eWU7MdrVLNc,24,Entertainment,침소리 컨설팅으로 탄생한 빅-반,635564,8796,2023-01-14 10:00:29+00:00,#햇반 #햇반컵반 #빅반
8PPUFdfzca0,24,Entertainment,"더 퍼스트 슬램덩크 (THE FIRST SLAM DUNK, 2022) 감상회",1308463,13628,2023-01-13 10:00:03+00:00,#슬램덩크
za_EbAThN1A,24,Entertainment,침착맨이 로마군 소대장이 된다면,427587,4314,2023-01-12 10:00:36+00:00,#쉴드월 #로마
cspfdOFcOsE,24,Entertainment,한국 좀비사태 발생시 필요한 현실능력 월드컵,1703317,11982,2023-01-10 10:00:29+00:00,#주우재 #좀비 #월드컵
QAlkUzhL03U,24,Entertainment,고등어 솥밥과 슬램덩크 개혁안,637292,7770,2023-01-09 10:00:19+00:00,#솥밥 #먹방
z_OdvenYnAs,24,Entertainment,빵으로 벌어지는 연고전,1199097,14031,2023-01-07 10:00:34+00:00,#연대빵 #고대빵
vO9sb-w1gdY,24,Entertainment,2023년 또 새롭게 태어난 NEW NEW 침착맨,1117264,15008,2023-01-06 10:00:36+00:00,#소통 #동시송출
SP-LJqVgQuw,24,Entertainment,[ENG] 뉴진스 초대석,3878769,59017,2023-01-05 10:00:10+00:00,#뉴진스 #주우재
K6Pfi0yLav8,24,Entertainment,통닭천사 리즈 시절...｜방랑화가 이병건｜EP.05 서울 강남구,1287608,21645,2023-01-04 10:00:08+00:00,#통닭천사 #방랑화가이병건 #리즈
RRnO-9xfJY8,24,Entertainment,많이 먹는 사람과 많이 먹기,1305447,13979,2023-01-03 10:00:21+00:00,#주우재 #먹방
NeTqujXzubM,24,Entertainment,(※소리주의) 솜사탕 만드는 기계,659212,11790,2023-01-02 10:00:09+00:00,#솜사탕 #만들기
ysetd_r8Z9M,24,Entertainment,침투부 Awards 2022: 한 해를 정리하는 권위없는 시상식,653832,10426,2023-01-01 10:00:23+00:00,#시상식 #어워즈
G2waLH_NGO4,24,Entertainment,2대 침착맨의 필요성,598984,8277,2022-12-31 10:00:06+00:00,#국밥 #먹방
IwbOoHByJrE,24,Entertainment,유튜브 로딩사태와 크롬 무기징역,773863,11710,2022-12-30 10:00:17+00:00,#크롬 #무기징역
8RO8eUd0t0U,24,Entertainment,고놈 참 맛나것다｜방랑화가 이병건｜EP.04 여수,891241,12739,2022-12-28 10:00:04+00:00,#통닭천사 #방랑화가이병건
dE9e75gOQ0M,24,Entertainment,'블랙홀의 과학' 특강 | 제2부 본격적인 블랙홀 이야기,1372128,9543,2022-12-27 10:00:30+00:00,#안될과학 #궤도 #김풍 #블랙홀
BYW59WPeBss,24,Entertainment,'블랙홀의 과학' 특강 | 제1부 강의의 지평선 너머로,1018710,9240,2022-12-26 10:00:10+00:00,#안될과학 #궤도 #김풍 #블랙홀
rd2qDgHC1vg,24,Entertainment,임용한 박사님의 '전쟁사의 오해와 진실' 특강,1686920,19285,2022-12-25 10:00:31+00:00,#임용한 #전쟁사
ezq0MpTPQ1A,24,Entertainment,댓글창 '나가뒈져' 사태를 추억하며,688691,8006,2022-12-24 10:00:16+00:00,#게임챔프 #폭소소림사
HJUKcCzKa0Q,24,Entertainment,김풍의 일본식 번데기 짬뽕,1066300,11395,2022-12-22 10:00:08+00:00,#김풍 #주호민 #쿡방
oTuqCpyI5Xs,24,Entertainment,독기 가득 충전된 상담소,679595,8957,2022-12-20 10:00:19+00:00,#김풍 #주호민 #고민상담소
Nc8rOrODhTw,24,Entertainment,가수 미노이 초대석,795753,9074,2022-12-19 10:00:11+00:00,#미노이 #기린
MBepsQF1viY,24,Entertainment,시청자가 알려주는 와인 설명회,728468,7579,2022-12-18 10:00:09+00:00,#와인 #설명회
4xWfyfdiCAQ,24,Entertainment,칼국수는 모두 다 장칼국수로 만들어야,715000,7226,2022-12-17 10:00:05+00:00,#장칼국수 #먹방
G5m7kGORHBQ,24,Entertainment,옛날 게임잡지 창간호 구경하기,428064,5225,2022-12-16 10:00:09+00:00,#게임잡지 #게임챔프
pkhEJQ0FTCg,24,Entertainment,서울대는 다르다｜방랑화가 이병건｜EP.02 서울 : 서울대학교,874731,14164,2022-12-14 10:00:33+00:00,#통닭천사 #방랑화가이병건
5E03Yphawnw,24,Entertainment,일 벌이는 사람들 특,785170,9909,2022-12-12 10:00:04+00:00,#승우아빠 #상업유튜버
EdJIxjLPS5w,24,Entertainment,파라오는 매년 공개적으로 ○○를 했다?,561462,6308,2022-12-11 10:00:05+00:00,#곽민수 #이집트
Wdpw6idowII,24,Entertainment,고대 이집트에는 헬리콥터가 있었다?,967342,9672,2022-12-10 10:00:28+00:00,#곽민수 #이집트
beUfUgcr9Bg,24,Entertainment,시청자가 알려주는 러닝 설명회,850715,9614,2022-12-09 10:00:20+00:00,#김풍 #주호민 #러닝
3N4BFRDuY4U,24,Entertainment,"방랑화가, 여정의 시작｜방랑화가 이병건｜EP.01 울산",950599,18677,2022-12-07 10:00:03+00:00,#통닭천사 #방랑화가이병건 #허선행
0GVTi9nQoN8,24,Entertainment,침펄풍 밸런스 게임,1162135,12344,2022-12-05 10:00:00+00:00,#주호민 #밸런스게임
tZolEtoQyuY,24,Entertainment,막걸리 수육 떡볶이,1794374,16930,2022-12-04 10:00:22+00:00,#주호민 #김풍 #쿡방
46Vzj17L3rI,24,Entertainment,겨울철 간단한 김장,1168283,11672,2022-12-03 10:00:02+00:00,#주호민 #김장 #수육
